	Iozone: Performance Test of File I/O
	        Version $Revision: 3.414 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England.

	Run began: Tue Feb 19 03:02:44 2013

	Auto Mode
	Excel chart generation enabled
	Command line used: ./benchmarks/iozone3_414/src/current/iozone -a -R
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  463774  842003  2133730  1648808 2067979 1049372 1204796  1452528  1879725   929467   799377 1421755  1452528
              64       8  528618  874936  2133730  2133730 3022727  852702 1421755  2006158  2133730  1363961   855419 1204796  1183548
              64      16  686877  735831  3057153  2444640 3541098 1562436 1780008  2133730  3363612  1562436  1232453 1526887  2561267
              64      32  346008 1013707  3406295  3203069 4988978 1562436  586352  2203800   780776  1304314  1143223 1734015  1599680
              64      64  763021  863676  4897948  5283570 5389653 2467108 1452528  2067979  1879725  2052169  1210227 1553394  1330167
             128       4  450468  985435  1911894  2464907 2066432 1291158 1487977  1543594  1539168   992724   940549 1152564  1306873
             128       8  703810 1093856  2098744  1967960 3199360 1492113 2166499  2248149  2905056  1471662   702889 1802755  3199360
             128      16  659704 1076312  2202044  1254941 2098744 1038825 1543594  2367096  1017175  1377278  1421023 2066432  1162547
             128      32  934004 1196221  2969325  2784517 4934216 1642783 1508887  2420455  3297617  1749872  1377278 2326073  2843510
             128      64  785122 1885042  5545860  5122535 5847904 3199360 2098744  2286447  2621367   723735  2286447 1391557  1598754
             128     128  934004 1175271  5847904  5545860 6406138 2004703  992724  3359523  2202044  1710838  1346196 1057236  3560017
             256       4  555248  598249  1704877  1361224 1361224 1058076 1319408  1325925  1148625  1112909   823544 1673001  1704877
             256       8  536654 1235882  1897721  2582316 3087188 1766587 1755037  1842366  2030503  1361224  1178892 2152625  2754556
             256      16  423265 1213534  1829808  1570244 1053922 1729594  952062  2533571  3454704  1487577  1361224 2266207  3236056
             256      32  977189 1579483  2557711  2563818 4553502 2061693 2486631  3159869  3994490  1649865  1067543 2665657  4264168
             256      64  873809 1422540  2943325  5242734 5971678 2242541  907792  1763685  3994490  2330140  1325925 2557711  3557725
             256     128  924200 1540948  3935921   886067 3994490 2081678 3275543  3087188  3879045  1420658  3285566 2441400  3009318
             256     256  856386 1952947  6936061  5938650 6936061 2305128 2463808  2152625  2266207  2152625  1610276 2639446  1732384
             512       4  635198 1118011  1556366  1954379 1789859  890404 1251589  1629590  1776533  1158418  1174254 1740536  2532990
             512       8  849208 1442420  2460437  3970896 3163620 1383861 2347475  2438090  2609952  1373241   860781 2216629  4091959
             512      16  517739 1471074  4000485  2294796 4228947 1674052 2237414  2811557  2381315  1580419  1509330 3710197  4742616
             512      32  792486 1667552  3366987  2160868 4532414 1723770 3877684  3366987  4532414  1524329  1875849 4262523  3201349
             512      64 1073309 2548017  3849877  4742616 6156675 3487274 2736325  3684733  6018636  2107844  1418599 2486072  5177083
             512     128 1437592 1803387  4494470  4871723 5886650 2007358 3504346  2584820  4296637  2294796  3029721 3504346  6736026
             512     256 1091308 1505098  4163357  6246213 7022379 3201349 4973263  2860238  6414119  1947291  3684733 4571003  2196227
             512     512  948197 1829505  7211022  6821616 7115451 2132967 4068701  2187279   876951  2143612  2304647 2736325  1695195
            1024       4  532226 1172909  2414523  2120127 2124322 1127937 1559081  1594978  1441842  1180972  1135391 1741104  2004366
            1024       8  804933 1457004  2260740  3863055 3335105 1762539 2142335  2461573  1718120  1352828  1347734 2553783  3778101
