	Iozone: Performance Test of File I/O
	        Version $Revision: 3.414 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England.

	Run began: Wed Feb 20 03:03:24 2013

	Auto Mode
	Excel chart generation enabled
	Command line used: ./benchmarks/iozone3_414/src/current/iozone -a -R
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  566551 1330167  2662899  2892445 2067979 1392258 1562436  1484662  2052169  1421755  1249666 1933893  2662899
              64       8  328238  512471  3791156  3363612 3203069 1421755 1879725  2067979  1330167  1279447  1336792 2892445  1183548
              64      16  789967 1357066  2662899  3958892 2067979  318124 1734015  2133730  2358717  1304314  1255511 1722886  1484662
              64      32  763021 1562436  4274062  5283570 4564786 1828508 2662899  2133730  3791156  1452528  1947927 1828508  2133730
              64      64  801764 1599680  5735102  1066042 5283570 1648808 3203069  1780008  1066042  1679761  1780008 2006158  3738358
             128       4  362553 1346196  2464907  1637771 1133103  684081 1637771  1000121  1409828   962469  1121270 1349580  1997245
             128       8  744820 1196221  3982553  3867787 3199360 1997245 1911894  2098744  3124872  1332828   901083 2058509  2558895
             128      16  841746 1436229  3053774  1802755 3759450 1217930 1858934  2511022  3560017  1377278  1802755 1878447  2558895
             128      32  447838  859260  3199360  4557257 5074121 1663139 2784517  1618028  4407601  1997245  1579934 4012317  2621367
             128      64  859260 1684006  4596273  5603747 5784891 2140585 2326073  2558895  3468030   795593  1172704 1229084  4267461
             128     128 1000121 1455701  6727225  6406138 6114306 2420455 3036502   595328  2238774  2098744  1487977 1663139  2511022
             256       4  411583 1036624  1775350  1570244 1610276 1163562 1523457  1254656  1924938  1213534   792543 2015259  2665657
             256       8  782721 1369908  2228578  2726577 3123106 1016025 1694118  2285501  2719671   748353  1479379 2783115  4009406
             256      16  907792 1707589  2310087  4819184 4197489 1766587 3421677  2719671  3935921  1868008  2345409 1805197  3326279
             256      32  955451 1652404  3410808  2872459 3879045 1740810 1829808  3197509  4496299  1391207  1855098 3245838  4929815
             256      64 1114064 1729594  3245838  5810112 5455847 1855098 3009318  3368013  5117791   408918  1662639 2392442  5687020
             256     128  977189 1361224  3605511  1924938 6554972 3197509 3756894  2413957  5117791  1652404  1137672 2065659  5938650
             256     256  996229 1981783  6595234  7120034 6249745 1704877 3879045  1766587  4332998  2049885  1814348 2135500  5455847
             512       4  508905 1147892  2463259  1803387 1707325 1079785 1383861  1376763  1897396  1299295  1089647 1827947  2750343
             512       8  759685 1166599  2360376  3849877 3104171 1970519 1635797  2370799  3046915  1350783  1222379 2753870  2039772
             512      16  705294 1672748  3325278  4916336 4163357 1889050 2474613  2736325  2651850  1506154  1723770 3239989  3064306
             512      32  896725 1759070  3768799  5760329 5278892 2032051 3849877  3604335  4610256  2143612  1829505 2198475  3086326
             512      64 1125040 1875849  2413429  6104175 6174377 2712134 2845081  1616100  4882800  1683237  1258188 1383861  3366987
             512     128 1053821 1528669  3970896  6652558 6736026 3527371 2750343  3325278  3279573  1862832  2009236 1677976  1326585
             512     256 1150968 1334001  3533174  5227492 5227492 3415178 2391924  3762197  2979282  1524329  2073249 1329871  1809465
             512     512 1084694 1350783  1662389  7091952 7115451 2253852  999850  2926501  2438090  1166599  1610042 1917728  1875849
            1024       4  577528  829175  1812371  1837965 1499217  991266 1294520  1537868  1590254   911146   684914 1709912  1790460
            1024       8  711699 1418039  2306882  3999762 2985091 1724328 1687075  2443368  2966535  1475525  1384220 2250080  4095102
            1024      16 1066594 1573360  2360124  2403712 4215688 1386007 2111788  2950233  3908759  1064479  1523683 2010935  3301774
            1024      32 1020956 1825466  2098375  3751699 4474829 2875184 1995982  3567824  2837198  2132761  1561348 2353657  2612819
            1024      64 1132697 1426517  2414523  3791442 6208343 1878973 2414523  4029784  5991815  1825466   950675 2867506  2421329
            1024     128  996094 1659694  3133170  2993413 4488860 2236023 2688041  3506651  5950309  1139005  1995982 3012308  2370545
            1024     256 1307923 2031864  3379719  6650556 7054742 3355952 1479591  4249053  5950309  1662264  2019445 2094282  4783849
            1024     512 1126458 1855433  3414650  6059442 7020149 2798378 3103735  2064088  3553066  1732676  2432298 2480051  5885083
            1024    1024 1321200 1097388  7319232  7054742 7369466 2300703 2375790  2480051  3170172  2672984  1712639 1273410  1735476
            2048       4  676809 1042239  1858164  2694623 1875201 1158953 1395193  1658350  1707806  1205468  1157703 1892971  1400881
            2048       8  768756 1341170  1616531  2092143 1716680 1274318 1872340  2068465  3145567  1972971  1397008 2155672  3561619
            2048      16 1144133 1219848  2543804  2541546 3710866 1729816 2392202  3043048  3632406  2298737  1342008 2709070  4730646
            2048      32  997112 1482862  3229534  5184636 5306340 2905140 3251539  3696494  2852087  2492143  1906837 2589040  4785996
            2048      64 1114301 1984824  2967361  4613765 5916724 1990343 2690403  4180412  5754221  1381061  1901351 2872113  2705656
            2048     128 1247122 1678768  2528082  2909075 6440169 2359349 4531020  4310472  6185123  2064488  1988040 2897301  6114678
            2048     256  992734 1516904  3108009  3632406 6670210 2863496 2901215  4086930  6359119  2218586  1593737 3094573  2531062
            2048     512 1280778 2089598  3561619  5689430 6780783 3159451 2880782  3029098  5184636  1990343  1549185 2798201  2875960
            2048    1024 1057899 2285891  4550221  6020395 6711905 3946119 2801852  4215286  3784436  1734007  2720222 1477506  3425279
            2048    2048 1059464 1851755  5719737  6802261 5267294 2680329 2771120  2872113  2771120  2029850  2160551 2553635  1891303
            4096       4  619947 1126489  1809206  1781625 1760989 1120318 1034071  1580222  1559706  1144423  1055676 1754873  1984321
            4096       8  902408 1474944  1703708  2042837 1863567 1320430 1906796  2367741  1954299  1422786   992722 2062457  2070660
            4096      16  962198 1541098  2360908  2799480 3595765 1842581 1734148  2854365  2888438  2145658  1579060 1867010  1979748
            4096      32  969474 1803508  2701744  2680666 4659824 1862557 2539595  2813233  2120237  1777018  1700168 2714122  2827121
            4096      64 1228554 1883178  1622915  2326065 2708986 2057270 2340643  3984379  2786765  2182178  1806732 2675656  3980686
            4096     128 1237047 1380928  2929815  3281854 5263753 3327622 2261757  3683658  2555461  1715275  1254114 2073910  1960768
            4096     256  754171 1283247  2026930  2108009 2188015 1251100 1746666  3341213  3747948   981773  1227764 2206846  2041866
            4096     512  272014 1738535  1449924  2377242 2952980 1910401 2598755  4329816  4227532  1390316  1613920 2224851  2181070
            4096    1024  633877 1285552  2794017  2892815 2221111 1447968 2666519  2571141  1852715  1824383  1932970 1306175  2341919
            4096    2048  975696 1233317  2692851  3593509 1762434 1965254 1831775  1887523  2423862  1410520  1397554 2183565  1854915
            4096    4096  882566 1019407  1348307  1364910 1185897 1278377 1550277  1390766  1363502  1526040  1210719 1304885  1747376
            8192       4  625350 1109423  1597547  1287662 1199049  965112 1397941  1610048  1410914  1014495  1142361 1722827  1745229
            8192       8  867521 1448872  1861730  1917095 1643628 1231496 1827372  2410227  1570888  1343814  1118342 2048416  2159250
            8192      16  963866 1635803  2365427  2414461 2190359 1611332 2136161  2978013  1931102  1497952  1349144 2285650  2299109
            8192      32 1083158 1845828  2636606  2706385 2463804 1769678 2420755  3657312  1921706  1262816  1520691 2633978  2652072
            8192      64  831515 1893640  2739834  2700217 3191265 1949952 2615532  4083733  2915349  1831366  1743369 2779732  2610564
            8192     128 1121262 1929367  2791249  2986555 3060236 1759438 2741583  3840876  2637415  1934800  1858106 2875338  2842512
            8192     256 1216669 1591922  2655557  2585031 2315532 2010775 2199754  4354953  3254747  2084580  1788563 2894717  2972345
            8192     512 1166128 1871159  2632364  2875338 2376552 1508606 2947864  4411425  5123115  1747448  1171096 2883543  3030813
            8192    1024 1155267 1946307  3083303  3088847 3148282 2056261 2906963  4617744  6611703  1417083  1965906 2880400  3007204
            8192    2048 1154297 1536399  2569566  2543130 2065036 1861831 1665377  2552955  4366576  1572973  1280035 2639238  2306981
            8192    4096  955902 1414632  1773881  1713035 1965457 1416090 1801976  1585092  1780130  1204894  1713804 1807569  1659986
            8192    8192  913876 1347398  1113053  1282807 1293966 1005264 1423246  1326640  1552996  1387778  1304033 1540739  1603736
           16384       4  658757 1204446  1616898  1652275 1267330  884286 1338027  1664844  1413637  1066661   980784 1370229  1673235
           16384       8  809885 1306533  1991245  2023970 1506715 1178806 1733204  2403803  1806182  1340532  1302052 1956994  2141740
           16384      16  979903 1620253  2369653  2027254 2141407 1564836 2069501  2858332  2125313  1346680  1507144 2349640  2509401
           16384      32 1077263 1491897  2002210  2628619 2466705 1695194 2406160  3571920  2007357  1644486  1480582 2312167  2385529
           16384      64 1204974 1847307  2596930  2819861 2631538 1875695 2577256  4195634  2717494  1550046  1743538 2725578  2700939
           16384     128 1029338 1599064  2398434  2898723 2831246 1962135 2811669  4523456  1711662  1834534  1754936 2251783  2459378
           16384     256 1177191 1925519  2931492  2526840 2459378 2026955 2940398  4192562  2805929  1837625  1513251 1706857  1715764
           16384     512  814030 1287754  2105646  2426209 2775557 1988364 2432736  4365689  2746273  1722991  1710937 2827286  3025050
           16384    1024 1176586 1820055  2904972  3051512 2853466 1954211 2905464  4547102  6815511  1622969  1831210 2927745  2821945
           16384    2048 1008743 1367257  2358430  2179854 2047733 1648628 2604805  3670166  3544834  1162730   951176 2551705  2527212
           16384    4096  952613 1415472  1724072  1737806 1786090 1465615 1693273  1644328  1694860  1331906  1074651 1775889  1754354
           16384    8192  879543 1319148  1458151  1618002 1440212 1141580 1506979  1354964  1572822  1101806  1608985 1360786  1535088
           16384   16384  831463 1325049  1543189  1582821 1592874 1106793 1574624  1299909  1412156  1368755  1289978 1541285  1552428
           32768      64 1098854 1811200  2807924  2839541 2732938 1878998 2632788  3811522  2668572  1722534  1588691 1405984  1736594
           32768     128  779340 1386538  2408682  2161608 2336570 1601949 2258770  4124966  2134151  1537609  1413809 2281909  2479424
           32768     256 1131298 1660155  2495269  2434495 2592023 1565670 2850614  4625735  2910620  1754462  1549763 2450643  2898039
           32768     512 1121000 1803925  2880969  2815806 2607019 2037436 2777677  4583619  2880667  1734840  1692998 2764047  2525067
           32768    1024 1062241 1922766  2770622  2302900 2810796 2021583 2906988  4767582  2250853   980405  1526933 2730875  2817306
           32768    2048 1079596 1550043  2267378  2545504 2310527 1673211 2061920  4438840  4940860  1332356  1163555 2466697  2390957
           32768    4096  866538 1385657  1536097  1699403 1710316 1429484 1699403  1459728  1818124  1040023   674253 1697388  1567402
           32768    8192  892618 1284262  1511583  1580560 1484257 1310567 1581251  1394373  1531424  1217827  1177058 1560603  1470410
           32768   16384  918618 1099671  1366806  1463178 1570178 1298102 1537248  1342061  1399869  1113192  1606424 1561259  1484866
           65536      64  976969 1612642  2633464  2568933 2631120 1762006 2688981  4141798  2552023  1400253  1399569 2385041  2405516
           65536     128 1008027 1581841  2752224  2816810 2543404 1838318 2783325  4283401  2469041  1612633  1397654 2382952  2149703
           65536     256  951589 1147778  2383655  2367885 2559913 1466650 2313128  1930379  1642171   811953  1209622 2261330  2245536
           65536     512  833812 1397413  2198446  2259955 2128562 1603405 2156432  4735942  2057903  1157571  1241730 2192641  2191977
           65536    1024  860820 1690861  2889078  2834587 2582691 1889080 2067655  4765913  2812832  1450490  1165147 2795781  2834353
           65536    2048  952060 1525584  2459145  2234892 2148729 1545223 1818519  3809821  1819939   772157  1032173 2296528  2203557
           65536    4096  761116 1204016  1644854  1719515 1672863 1292546 1635858  1470274  1641554  1003538   865343 1650077  1626123
           65536    8192  803225 1141961  1565035  1563691 1520663 1150522 1336163  1305003  1242297   829632   870807 1323158  1240766
           65536   16384  724131 1206860  1531576  1494276 1501188 1207077 1438738  1334308  1559557  1174080  1145473 1504228  1417511
          131072      64   81491   84893  2656020  2632919 2597601   88601 2647539  4159025  2541426    88546    89532 2421023  2296008
          131072     128   88769   93632  2622220  2770251 2598669   94028 2662064  4041703  2748699    92836    93603 2525664  2556613
          131072     256   91022   93098  2420128  2297015 2419158   90255 2148442  4553152  2642906    92811    92041 2582240  2701837
          131072     512   91534   92572  2730446  2744281 2650002   89878 2504481  4150610  2490831    93928    91745 2702235  2673795
          131072    1024   92153   94446  2099877  2109675 2194329   93333 2742556  4366301  2832525    93872    94967 2393262  2586930
          131072    2048   91422   94493  2247388  1861712 1736278   89769 1720514  3181829  1398134    96028    96157 1908471  1999302
          131072    4096   92394   88840  1430728  1052728 1433859   94131 1571962  1225017  1597153    98616    99516 1672541  1662336
          131072    8192   91858   92440  1579827  1529679 1495894   92545 1426478  1327044  1529764   110042   108668 1495759  1535931
          131072   16384   42244   37116  1497520  1473845 1488289   39421 1518831  1325767  1562948    59384    55389 1520961  1428123
          262144      64   14240   13902  2326940  2295140 2156730   14304 2552244  3769959  2442388    14110    13976 2563574  2553192
          262144     128   14243   13867  2805507  2649120 2527666   14380 2649503  4323512  2673247    14343    13979 2710060  2789592
          262144     256   14271   13827  2816784  2836038 2763628   14360 2774010  3730056  2753440    14350    13991 2298820  2353961
          262144     512   14350   13868  2343860  2293110 2184336   14108 2171686  4026854  1988379    14223    14601 2247135  2310190
          262144    1024   14488   14154  2121987  2298883 2240605   14419 2241043  3834821  2138500    14502    14328 1801946  2228416
          262144    2048   14505   14199  1846708  1837042 1931306   14561 1988861  3360038  1885370    14579    14006 2214369  2315103
          262144    4096   14457   14215  1507241  1536815 1542821   14547 1695289  1541271  1672475    14679    14569 1322296  1231937
          262144    8192   14252   14230  1517361  1532512 1331247   14651 1532826  1108042  1251033    14848    14969 1492320  1518362
          262144   16384   14600   14258  1504947  1536446 1543657   14699 1523262  1337558  1222789    15880    15752 1516229  1487924
          524288      64   11335   11237   109380   112576  208867   14131  176681  3834358   282998    13415    11023  199249   210575
          524288     128   12329   11193   113144    88170  299015   14175  278666  4396658   153965    13163    11023  250920   252256
          524288     256   12141   11169    84901    97249  373752   14352  339080  4594624   391736    12077    11202  276315   270268
          524288     512   12096   11165   109221   106947  421842   13795  391453  3932460   388749    12049    11210  301243   302175
          524288    1024   11947   11190    98125    95945  471043   13946  371201  4126662   415869    12088    11188  304710   285407
          524288    2048   11976   11207   102201   111153  469043   13648  390360  2637845   475705    12088    11275  288252   286011
          524288    4096   12016   11256    95970    86264  483573   14224  377562  1540554   526706    11961    11372  291629   287596
          524288    8192   11981   11255   112665   111431  534630   13515  504724  1386807   409874    11998    11483  303151   313782
          524288   16384   11952   11263   115902   116597  402814   13496  479097  1367912   476707    12096    11520  250163   253224

iozone test complete.
Excel output is below:

"Writer report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   566551  328238  789967  763021  801764 
"128"   362553  744820  841746  447838  859260  1000121 
"256"   411583  782721  907792  955451  1114064  977189  996229 
"512"   508905  759685  705294  896725  1125040  1053821  1150968  1084694 
"1024"   577528  711699  1066594  1020956  1132697  996094  1307923  1126458  1321200 
"2048"   676809  768756  1144133  997112  1114301  1247122  992734  1280778  1057899  1059464 
"4096"   619947  902408  962198  969474  1228554  1237047  754171  272014  633877  975696  882566 
"8192"   625350  867521  963866  1083158  831515  1121262  1216669  1166128  1155267  1154297  955902  913876 
"16384"   658757  809885  979903  1077263  1204974  1029338  1177191  814030  1176586  1008743  952613  879543  831463 
"32768"   0  0  0  0  1098854  779340  1131298  1121000  1062241  1079596  866538  892618  918618 
"65536"   0  0  0  0  976969  1008027  951589  833812  860820  952060  761116  803225  724131 
"131072"   0  0  0  0  81491  88769  91022  91534  92153  91422  92394  91858  42244 
"262144"   0  0  0  0  14240  14243  14271  14350  14488  14505  14457  14252  14600 
"524288"   0  0  0  0  11335  12329  12141  12096  11947  11976  12016  11981  11952 

"Re-writer report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   1330167  512471  1357066  1562436  1599680 
"128"   1346196  1196221  1436229  859260  1684006  1455701 
"256"   1036624  1369908  1707589  1652404  1729594  1361224  1981783 
"512"   1147892  1166599  1672748  1759070  1875849  1528669  1334001  1350783 
"1024"   829175  1418039  1573360  1825466  1426517  1659694  2031864  1855433  1097388 
"2048"   1042239  1341170  1219848  1482862  1984824  1678768  1516904  2089598  2285891  1851755 
"4096"   1126489  1474944  1541098  1803508  1883178  1380928  1283247  1738535  1285552  1233317  1019407 
"8192"   1109423  1448872  1635803  1845828  1893640  1929367  1591922  1871159  1946307  1536399  1414632  1347398 
"16384"   1204446  1306533  1620253  1491897  1847307  1599064  1925519  1287754  1820055  1367257  1415472  1319148  1325049 
"32768"   0  0  0  0  1811200  1386538  1660155  1803925  1922766  1550043  1385657  1284262  1099671 
"65536"   0  0  0  0  1612642  1581841  1147778  1397413  1690861  1525584  1204016  1141961  1206860 
"131072"   0  0  0  0  84893  93632  93098  92572  94446  94493  88840  92440  37116 
"262144"   0  0  0  0  13902  13867  13827  13868  14154  14199  14215  14230  14258 
"524288"   0  0  0  0  11237  11193  11169  11165  11190  11207  11256  11255  11263 

"Reader report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   2662899  3791156  2662899  4274062  5735102 
