	Iozone: Performance Test of File I/O
	        Version $Revision: 3.414 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England.

	Run began: Thu Feb 21 00:03:31 2013

	Auto Mode
	Excel chart generation enabled
	Command line used: ./benchmarks/iozone3_414/src/current/iozone -a -R
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  566551  889431  2203800  2561267 2067979  219165 1279447  1526887  2067979  1183548  1168097 2203800  1279447
              64       8  603489 1204796  1879725  1690338 3057153 1232453 1991276  2203800  3057153  1892980   955947 1310683  3022727
              64      16  413101 1013707  4018152  2006158 4018152 2379626 1460430  2561267  2278628  1484662  1780008 2358717  1933893
              64      32  866463 1690338  5389653  4988978 4897948 1768283 3541098  2052169  4274062  1363961  1049372 3541098  4897948
              64      64  913649  955947  5735102  4988978 5860307 1892980 3057153  1933893  4564786  1991276  1679761 2133730  4988978
             128       4  631014 1231904  2843510  2905056 2098744 1133103 1852520  1579934   992724  1102844  1319723 1684006  2858650
             128       8  809997 1487977  4012317  4233807 2727923 1504659 2784517  2286447  3468030  1487977  1294270 3124872  3867787
             128      16  819893 1967960  4596273  2727923 4267461 1598754 2558895  2608629  4012317  1504659  1243315 3106789  4557257
             128      32  983630 2248149  5325799  5325799 4717434 2905056 3759450  2660335  3380677  1689305  2098744 4444086  1085013
             128      64  942199 1878447  6114306  5784891 4407601 2132084 4407601  2420455  2843510  1521718  2714132 4934216  5847904
             128     128 1057236 1939522  5074121  6114306 6045455 1997245 3359523  3560017  4934216  2004703  1710838 2969325  4407601
             256       4  627256 1195962  2015259  2692393 2097948 1219045 1407621  1632308  2015259  1304976  1224606 2290377  2582316
             256       8  876662 1543163  3557725  2419396 3326279 1391207 1696795  1970871  2170027  1375171  1108314 2081678  4197489
             256      16  913973 1471270  2665657  4572895 4132864 1686137 2242541  2849590  4132864  1842366  1683493 3499745  4819184
             256      32  958864 1842366  4496299  5717301 5217259 2045979 4117018  3285566  4755158  1814348  1256123 3316006  5569035
             256      64 1008392 2943325  4572895  3114048 6073004 2049885 2509882  3705040  5687020  2486631  2392442 5455847  2486631
             256     128 1178892 1044693  4350555  5971678 6719046 2413957 2480886  3285566  4907284  1325925  1117543 2533571  2563818
             256     256 1089202 2726577  6595234  6719046 6761355 3511189 2061693  2152625  3078337  2665657  2170027 5117791  6554972
             512       4  557092 1130370  2509312  2811557 2116152 1174254 1438555  1635797  1130370  1130370   876593 1889050  2860238
             512       8  608730 1541840  2463259  4091959 3284589 1528669 2651850  2394591  2424328   879465  1488408 2265742  4038098
             512      16  598884 1961520  3259661  4784885 4163357 2638816 1970519  2942541  1783912  1289156  1303238 2460437  4061007
             512      32  811349 1565443  2509312  5384786 5278892 2381315 2416145  3481620  4610256  1624659  1350783 2122426  2089386
             512      64  819398 1174897  2438090  2370799 5384786 2722449 2572435  3941742  3678421  1766304  1589779 2613128  2560168
             512     128 1082507 1207940  2845081  3201349 6551087 3388236 2081286  3768799  5684095  1897396  1783912 1467055  1537424
             512     256 1001715 1672748  3393590  3504346 4030519 2979282 2275345  3762197  3259661  1442420  1625889 2178404  4411377
             512     512  671969 1398278  6821616  7115451 7115451 1875849 2141475  3279573  2016784  1467055  1723770 2449212  4375425
            1024       4  578539 1043783  1519371  1568189 1430318 1033237 1446211  1678504  1207534  1133893   750238 1354535  1854631
            1024       8  582541 1333093  2015654  1943594 2942149 1256644 1638171  2461573  1790460  1264041  1288307 2056183  1446211
            1024      16  765344 1532928  2354947  2183727 4215688 1698417 1750329  2842832  2132761  1349004  1391395 2230218  1988589
            1024      32  825827 1620249  2094282  1914144 2444759 1352828 2225595  3544270  3130886  1848247  1151834 2432298  4014717
            1024      64 1065535 1675884  2491561  4282950 5950309 3210456 1510288  3735385  5564829  1835608  1681132 2132761  3358576
            1024     128  892775 1732676  1098792  2478620 5417427 2632033 1741104  3835457  4995276  1903117  1812371 2578312  2900425
            1024     256 1127641 1679160  2805690  3112733 3063882 3631168 2426801  3469823  4995276  2081090  1430318 2448941  1895558
            1024     512  952573 1724328  3937426  4783849 6317933 3481072 1872419  3518141  2869422  1701108  2275110 2311849  2077065
            1024    1024 1122924 1635675  5593820  6874084 7257394 3369115 2600164  1825466  2151996  1720874  1649496 2782064  1684429
            2048       4  613356 1162403  1553950  1660915 1348327  807567 1350023  1561009  1460673  1159109   845981 1574169  1343687
            2048       8  757168 1280778  2058551  2021729 2041913 1294677 1744572  2544558  2438378  1741389  1226992 1621719  1624172
            2048      16  880855 1397008  1914061  2390205 1988500 1444219 2011785  2748949  1582579  1635615  1214845 2263006  2370418
            2048      32  928861 1488257  2060032  2072957 1971160 1408461 2153510  3302797  1668983  2078978  1625402 2345819  2278010
            2048      64  993767 2015562  2107025  1620190 2443928 1706449 2113766  4046500  3799501  1974785  1799766 2282853  2403581
            2048     128 1045410 1765367  2632683  2612664 6024617 2335614 2667014  4385291  6690992  2771120  2064488 2151353  2605532
            2048     256 1310279 1986660  3215029  5884299 6990474 2798201 2933915  4540600  5332694  1957683  1952344 2921939  4945823
            2048     512 1459680 2389540  3470953  2158380 5596757 1894223 2848305  3579429  5754221  2446713  2104960 2929912  5280246
            2048    1024 1394061 1974785  4293237  6280083 4338776 3136379 2913021  3093459  3690142  1729468  2599225 1248028  2869235
            2048    2048  947718 1591375  1475476  1892553 4762117 1635615 2270783  3324528  2771120  2659582  2050198 2142232  3848872
            4096       4  643614 1191077  1607427  1851716 1672526 1062203 1378270  1647031  1570543  1179384  1086727 1682024  1629998
            4096       8  877831 1493797  1982718  2661562 2876348 1885865 1865186  2461720  2012918  1577175  1376834 2210537  2678994
            4096      16 1032766 1442255  2213956  2132342 2288267 1563397 1605024  2635836  1677917  1238206  1519292 2223411  2276744
            4096      32 1140624 1620925  2389476  4019805 3415612 1575873 2210537  3736536  3139133  1477100  1698823 2592481  2635836
            4096      64 1108249 1876390  2821086  4452120 5236478 2927818 2289487  4249491  2876348  2670249  1799729 2544108  3683658
            4096     128 1142217 1938642  2710696  2620558 4623457 1827877 2977031  4043458  3602551  1756488  1834122 2840208  3660895
            4096     256 1212171 1639643  2908979  2905044 5238075 2644356 3162828  4623457  4581535  1912315  1843372 2886496  3143729
            4096     512  986736 1987535  3271230  2729213 4824714 2364807 2687375  4428023  6451792  2245791  1159720 2612190  2259080
            4096    1024  725997 1962560  3102848  2961635 4055868 1770790 2874423  2807257  4116116  1190334  1916795 1673830  1660242
            4096    2048  995657 1605624  2719708  2137648 2923334 2545616 2670249  4063542  3248345  1477735  2378558 2277951  1921297
            4096    4096  987473 1637768  2171696  1622149 1295439 1585179 1582114  1750403  1882352  1473932  1575440 2091839  1780886
            8192       4  620841 1179903  1779393  1745584 1531810  983651 1333591  1704199  1287276  1196794  1006265 1733781  1777000
            8192       8  755245 1482761  2066651  1941688 1859715 1381917 1609143  2519817  1906458  1512525  1387778 2156946  2470358
            8192      16  853407 1635492  2342687  2173593 1945315 1460264 2084960  2979046  2351344  1515861  1549214 2087113  2441743
            8192      32 1056611 1625049  2658845  2738961 2904996 1798486 2356666  3715045  2726139  1872077  1699226 2597342  2404493
