	Iozone: Performance Test of File I/O
	        Version $Revision: 3.414 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England.

	Run began: Fri Feb 22 21:03:43 2013

	Auto Mode
	Excel chart generation enabled
	Command line used: ./benchmarks/iozone3_414/src/current/iozone -a -R
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  500060 1357066  2662899  2772930 2067979 1392258 1562436  1526887  2052169  1392258  1421755 2133730  1421755
              64       8  673098 1421755   608965  3203069 3057153 1734015 2006158  2133730  3022727  1828508  1780008 2006158  1562436
              64      16  780776 1933893  3541098  4274062 4018152 2444640 2561267  2561267  3541098  1734015  1484662 2444640  4207076
              64      32  955947 2444640  5283570  5389653 4897948 2801873 3363612  2923952  3588436  1392258  2278628 2772930  4897948
              64      64  780776 1363961  5389653  4564786 5735102 1734015  863676  1828508  4274062  3203069  2892445 4897948  5283570
             128       4  522346 1217930  2905056  2985839 2098744 1121270 1833539  1579934  1858934  1048974   955616 2558895  2843510
             128       8  901083 2027414  1057236  2409592 3297617 1526043 1618028  2166499  3124872  1440082  1406136 3468030  3867787
             128      16  853794 2326073  4934216  3036502 3759450 2326073 2409592  2858650  3867787  2420455  2326073 3895854  3867787
             128      32 1185654 2673584  5122535  4267461 5122535 2843510 1363288  2420455  3759450  1727352  1471662 1618028  3982553
             128      64  969421 2211113  4267461  5847904 5847904 3053774 1778862  2558895  2784517   811221  1471662 4267461  4104338
