	Iozone: Performance Test of File I/O
	        Version $Revision: 3.414 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England.

	Run began: Sat Feb 23 09:03:41 2013

	Auto Mode
	Excel chart generation enabled
	Command line used: ./benchmarks/iozone3_414/src/current/iozone -a -R
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  376589  720041  2444640  2662899 2067979 1105556 1599680  1363961  2067979  1138375  1452528 2467108  1066042
              64       8  571375 1210227  3541098  4018152 3203069 1363961 1690338  2133730  2662899  1363961  1029254 1734015  3541098
              64      16  647135 2052169  3057153  2133730 3958892 1562436 1879725  2203800  2561267  1421755  1484662 2772930  4274062
              64      32  866463 1484662  5283570  4897948 4988978 1828508 3203069  2379626  4274062  1562436   955947 1780008  1679761
              64      64  831569 1690338  5860307  5860307 5860307 2006158 3588436  1947927  1892980  1562436  1304314 4018152  1526887
             128       4  595328 1130717  2202044  2660335 2066432  859260 1642783  1598754  1975201  1185654   985435 1852520  1642783
             128       8  637004 1451764  3759450  2286447 3277486 1359835 2621367  2211113  3277486  1455701  1391557 2464907  3759450
             128      16  876086 2326073  4759253  3867787 4104338 2511022 1911894  2621367  3895854  1732927  1705404 4012317  4267461
             128      32  848397 1508887  4934216  3468030 1598754 1732927 2969325  2621367  4717434  2132084  2464907 3982553  5122535
             128      64 1206978  907174  6114306  3359523 5847904 2066432 3053774  2843510  5325799  1455701  2920861 5122535  5847904
             128     128 1015251 1243315  6406138  4717434 6114306 1911894 4444086  2905056  1487977  3785961  1684006 1778862  6114306
             256       4  621448 1148625  2903529  2943325 2097948 1122215 1970871  1610276  2065659   927393  1230218 2588541  2441400
             256       8  599585 1224606  3545976  3994490 3326279 2097948 2842047  2345409  1985448  1354356  1487577 2975955  3823789
             256      16  973645 1752173  4755158  4907284 4197489 1775350 3667079  2783115  4132864  1704877  1147398 3465855  5022044
             256      32 1118707 1802167  5320671  5347168 5022044 1911233 3935921  3159869  4070199  1829808  1740810 4181144  5841722
             256      64 1185399 1231629  4197489  4264168 5569035 1884399 2783115  3756894  5687020  2726577  3197509 3511189  6249745
