	Iozone: Performance Test of File I/O
	        Version $Revision: 3.414 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England.

	Run began: Sun Feb 24 21:04:02 2013

	Auto Mode
	Excel chart generation enabled
	Command line used: ./benchmarks/iozone3_414/src/current/iozone -a -R
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  528618 1029254  2358717  2923952 2067979 1124074 1599680  1492919  2067979  1183548  1163036 2467108  2662899
              64       8  727850 1363961  4274062  3958892 3203069 1421755 2203800  2006158  2278628  1385075  1452528 2923952  3791156
              64      16  710511 1163036  4274062  4564786 4274062 1648808 2662899  2379626  3541098  1518251  1780008 3541098  4564786
              64      32  809014 2278628  5283570  4988978 4897948 2662899 1562436  2203800  2561267  1492919  2772930 2923952  1879725
              64      64  743988 1484662  5283570  4897948 5860307 1933893 3363612  1947927  4897948  2067979  1304314 1879725  5283570
             128       4  414314 1359835  2066432  1455701 2027414 1059322 1487977  1603529  2004703  1254941   976473 2286447  1997245
             128       8  707520 1878447  1684006  4012317 3277486 1406136 2211113  2211113  3199360  1391557  1332828 2248149  1967960
             128      16  876086 1598754  3359523  3199360 4012317 1598754 2132084  2558895  3867787  1663139  1705404 2098744  2140585
             128      32  814915 1278855  5122535  5603747 5122535 1939522 3867787  2920861  2420455  1727352  2558895 2409592  5122535
             128      64  785122 2202044  3759450  3867787 4444086 1911894 3359523  3560017  2905056  1603529   595328 2132084  5325799
             128     128 1024942 1359835  6406138  6114306 6406138 2140585 4135958  3759450  2035099  2066432  1778862 1727352  3785961
             256       4  641497 1128110  2533571  2413957 2118645  992545 1523457  1610276  1471270   970126  1157291 1729594  2812272
             256       8  593947 1293967  3756894  3052087 3285566 2097948 2639446  1570244  1996523  1354356  1455317 3557725  4197489
             256      16  825443 1471270  4332998  4734192 3667079  921029 3511189  2812272  3557725   605332  1506359 4132864  4734192
             256      32  921029 1581810  3935921  3705040 5217259 1884399 3454704  3236056  3421677  1894373  1729594 4477549  5569035
             256      64  970126 1137672  3421677  2305128 5117791 2097948 2118645  2509882  2783115  2114473  1842366 2754556  2371308
             256     128 1132871 1729594  6107548  3935921 6595234 2065659 4572895  2975955  3717869  1514860  1079348 1855098  5841722
             256     256 1075025 2081678  6936061  6891544 6595234 1619994 2247235  2582316  2607399  1911233   752549 2015259  1153561
             512       4  611852  973559  1815584  2625909 2097550 1316016 1795846  1610042  1657257  1122687  1168504 2196227  2474613
             512       8 1009722 1985091  2265742  4228947 3325278 1695195 2427068  2381315  3029721  1488408  1169140 2327124  4099771
             512      16  867738 1650887  2894940  3963567 4123387 2544997 2207515  2841317  4000485  1674052  1426135 2402629  3325278
             512      32 1026126 1711407  4571003  2995907 5331314 1874212 2926501  3304808  5115422  1747618  1827947 4411377  3628697
             512      64 1080328 1667552  3366987  4155301 6174377 1977778 3604335  4000485  4784885  1999881  1954379 4882800  6319739
             512     128 1199171 1897396  2265742  2246778 3970896 2135087 2337255  3884698  5177083  2402629  1711407 2416145  3941742
             512     256  941133 1815584  5951911  6821616 7115451 4000485 5115422  2845081  5566231  1580419  2416145 2753870  6736026
             512     512 1073309 1954379  7211022  6018636 4447925 1902438 2830083  3372274  4973263  2189509   958781 2609952  5566231
            1024       4  675967  879070  1592612  2958362 1946237 1201790 1590254  1670669  1341839  1151834  1265904 2245375  2960401
            1024       8  859886 1523683  2305644  4265934 3345496 1692394 2934110  2484355  2926114  1426517  1359680 2236023  2710090
            1024      16 1051449 1657133  2659742  4826859 4199201 1812371 2281152  2869422  3880507  2011877  1659694 2565989  4694950
            1024      32 1251882 1957770  2835325  2255990 5042191 2120127 2625597  3579719  4029784  1802483  1668074 2553783  2730767
            1024      64 1171629 1780809  2995501  5720477 6128613 2522288 4659297  3908759  5529011  1367037  1851434 4741598  5444898
            1024     128  989440 1706515  3301774  4249053 6364746 2612819 3345496  3818408  5660167  1980337  1656494 3179559  6529233
            1024     256 1126753 1969440  3447541  2540189 6402699 1750329 3055164  4064103  6402699  2090206  1422266 3529706  3012308
            1024     512 1273410 1590254  4146499  7160597 7257394 2782064 2561398  2875184  2397005  1635675  3366474 2275110  5277632
            1024    1024 1203137 2306882  6650556  5096034 6441107 1503942 2593883  2592318  1962242  1078919  1799462 2561398  6025439
            2048       4  652839 1244231  1597293  2615847 2096227 1229274 1393156  1659632  1640927  1267175  1040724 1901771  2745435
            2048       8  724472 1282308  1994039  2083516 2968386 2029850 1592555  2223755  1174964   892757  1181753 2612664  4120256
            2048      16  850841 1626633  2473485  2734946 1921339 1242072 1969352  2723672  2450202  1923059  1590196 2615051  4120256
            2048      32  868213 1900089  2785497  4923146 5319484 2509617 2592166  3710866  4957240  1643753  1810768 3683812  5475461
            2048      64 1129094 1662201  2631876  4741090 6189580 2582036 2972495  4170264  5611381  2794560  1601164 1791882  3251539
            2048     128 1297023 2062010  3513544  5900467 6167360 3146720 2148662  4248644  6670210  2160551  1919621 2880782  2727131
            2048     256 1280778 2066972  2000075  4172290 6670210 3683812 2872113  4396514  5738844  1495773  2199836 3334853  2528082
            2048     512 1103423 2449504  3507805  5735012 6984790 3281349 1645012  3991965  4864597  2367151  1784066 3136379  5626082
            2048    1024 1357275 2031771  4772701  6261772 6873016 3650932 2809182  4338776  3871422  1725300  2211731 1826943  2081497
            2048    2048 1155212 2109095  2173673  5735012 6167360 1495773 1625402  3549844  2049709  2775597  1972971 1788524  2540795
            4096       4  553585  977806  1420198  1757925 1246923  968763 1261481  1452989  1311559  1170306   911843 1715961  1607427
            4096       8  746762 1369917  1921297  1850719 1432634 1363935 1768603  2315406  2098482  1608179  1420198 1617719  2268027
            4096      16  954765 1691130  2034612  2648024 3335375 1886694 2126535  2940345  2077923  1731351  1626141 2119975  2027648
            4096      32 1198388 1844163  2262949  2701744 4597474 2480917 2485223  3703511  2284312  1307368  1690465 2684016  3561476
            4096      64 1200817 1760267  2762123  3828122 5184332 2994153 2872500  4214051  3242827  2260566  1786999 2721862  2654571
