	Iozone: Performance Test of File I/O
	        Version $Revision: 3.414 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England.

	Run began: Mon Feb 25 06:03:55 2013

	Auto Mode
	Excel chart generation enabled
	Command line used: ./benchmarks/iozone3_414/src/current/iozone -a -R
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  312204 1226821  1892980  1780008 1947927  983980  603489  1363961  1933893  1049372   866463 1562436  2467108
              64       8  557144  939223  3541098  1083249 3057153  561808 1768283  2203800  3057153  1879725   955947 2801873  3738358
              64      16  703068  727850  3022727  4564786 4018152 1599680 1991276  2278628  2561267  1452528  1722886 2133730  2772930
              64      32  842003 1599680  4897948  5389653 4897948 1828508 3363612  2379626  4274062  1599680  2278628 2203800  3958892
              64      64  901377 2561267  5860307  4897948 5735102 1828508 3588436  1933893  2067979  1828508  1648808 2662899  4988978
             128       4  601330 1303699  2608629  2784517 2066432 1391557  859260  1561553  1521718  1455701  1172704 1827299  1975201
             128       8  739689 2004703  1391557  2248149 3199360 1377278 2608629  2211113  3199360  1455701  1471662 3468030  4012317
             128      16  715059 2132084  2608629  2248149 3867787 1658003 1755594  2367096  3053774  1406136  1406136 1705404  1487977
             128      32  603357 1291158  3199360  2202044 4717434 1618028 1436229  3053774  2843510  1684006  1772988 2326073  4407601
             128      64  653282 1123617  3560017  2166499 4135958 2326073 1802755  2905056  2238774  1346196  1243315 4012317  6114306
             128     128  566435  826202  6406138  5847904 6406138 2058509 4557257  3657016  1543594  2409592  3199360 2511022  5847904
             256       4  690151 1062263  2533571  2943325 2131261 1128110 1375171  1600674  2045979  1447470   954602 2000242  2435861
             256       8  797843 1286217  2413957  3245838 3285566 1248819 2533571  2392442  1855098  1180188  1497953 3275543  4070199
             256      16  727070 1967260  4197489  4734192 4197489 2672291 3368013  2849590  2692393  1340826  1487577 3994490  4652146
             256      32  937106 2310087  1463250  3879045 5117791 2392442 2509882  3275543  4929815  1489641  1842366 1514860  4117018
             256      64 1040643 3009318  4672389  3009318 5810112 1938842 2613746  3326279  5569035  2392442  2533571 4264168  2463808
             256     128 1032636 1479379  4422226  6595234 6554972 2350543 4281170  2533571  3316006  1190657  1817419 2975955  5687020
             256     256  958864  904732  7120034  6554972 6936061 2228578 4929815  2350543  3421677  1016025  2842047 1148625  4652146
             512       4  678980 1239310  1312798  1640796 1736314 1064794 1147892  1610042  2016784  1450212  1047141 1834193  2039772
             512       8  832420 1354190  3064306  3905895 3259661 1488408 2572435  2449212  2995907  1015451  1455126 2187279  3736016
             512      16 1182661 1160923  3877684  4701087 4195896 2016784 2169601  2926501  3963567  1450212  1723770 2708713  4420457
             512      32 1240025 2548017  3012719  5744919 4827914 2681653 3220553  3580298  5177083  2625909  1169140 2768068  5624545
             512      64 1120344 1940253  3029721  4571003 5566231 2081286 2860238  3849877  5951911  1759070  2860238 2357784  6246213
             512     128 1387437 1614885  4838792  6395018 6736026 3788747 4660280  3366987  5886650  2047551  1764853 2668325  4871723
             512     256 1264113 1729323  6174377  5744919 7115451 3388236 3068685  2205248  3684733  1556366  3372274 4620174  1848401
             512     512 1169140 2024389  6909408  7211022 7211022 3196584 2198475  1187895  2524058  3163620  1867692 2381315  6909408
            1024       4  668809   20932  1765437  1723636 2111788 1116792 1386007  1627617  1910737  1573360   930088 1981251  2875184
            1024       8  597119 1442326  1638171  1317553 2653170 1120288 1893052  2124322  2744728  1483680  1523683 2867506  3970183
            1024      16  775152 1701108  2061116  3567824 4048778 2592318 2115949  2606476  3001782  1684429  1565902 3160839  2300703
            1024      32 1067920 2107643  3908759  4898425 5303701 3170172 2444759  3631168  3012308  2260740  1600327 3821805  4249053
            1024      64 1205839 1512415  4079544  3020783 6093831 2085132 2437821  4130547  6128613  2338280  1630088 2796556  6025439
            1024     128 1389594 1914144  3643490  6172653 6787181 2343383 2758833  4249053  6479979  2353657  1125277 2892612  2419964
            1024     256 1032244 2115949  4433259  6918376 7113161 3999762 2767722  4356809  5042191  2286009  1910737 3241960  6441107
            1024     512 1073257 1497127  4142499  4854136 6569179 2138070 3436508  3003881  4451639  1343518  2381058 2666347  6128613
            1024    1024 1109293 1349004  7257394  7369466 7369466 3401130 3794792  1796451  2297012  2900425  2081090 3012308  4720752
            2048       4  663222 1133415  1944829  2226060 2056579 1406616 1394966  1662201  1992189  1344739  1159109 1342847  1807720
            2048       8   76908 1498120  2354177  2547576 3324528 1868674 1860176  2386884  1889639  1435050  1335955 1805819  2670330
            2048      16   40696 1647536  2400894  4432815 4204968 2559723 2293214  2470639  2190300    81153  1394966 2437686  4374126
            2048      32  785558 1756702  1899669  2076967 3395491 1587551 2458618  3682233  4385291  2314219  1609866 2605532  3850597
            2048      64 1102856 1884251  3126106  2704804 3345243 1941313 2738433  3984558  4601407  1768638  1616227 2659582  2645657
            2048     128 1190103 2403581  2925920  3271351 6503556 2566606 2231264  4112366  6003564  1671907  1659632 2420514  4432815
