	Iozone: Performance Test of File I/O
	        Version $Revision: 3.414 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England.

	Run began: Fri Mar  1 00:04:59 2013

	Auto Mode
	Excel chart generation enabled
	Command line used: ./benchmarks/iozone3_414/src/current/iozone -a -R
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  560635 1049372   926260  2298136 2067979  998622 1249666  1484662  1392258  1083249   266620 1518251  1599680
              64       8  720041 1828508  4018152  3738358 3203069 2006158 2203800  2203800  2892445  1484662   901377 2772930  3791156
              64      16  821391 1492919  4274062  1991276 4207076 1638743 1562436  2278628  3203069  1304314   688639 3057153  4274062
              64      32  718114  752329  4018152  3363612 4897948 1484662 3022727  2133730  2662899  1638743  1734015 4274062  4897948
              64      64  818885 2561267  5283570  5283570 4897948 1599680  799377  2006158  4564786  2067979   852702 2358717  4897948
             128       4  615109 1206978  1022989  2784517 2098744 1057236 1539168  1557024  1319723  1000121  1196221 1905110  2673584
             128       8  927549 2066432  2558895  3560017 3199360 1240443 1732927  2211113  3380677  1526043   656477 3053774  2066432
             128      16  927549 1663139  4444086  4012317 4267461 1618028 1852520  2558895  3895854  1561553  1732927 3468030  4934216
             128      32  774922 2558895  5122535  3359523 5122535 1663139 2248149  2905056  4759253  2027414  2175277 4012317  5545860
             128      64  847059 1727352  5122535  4444086 6045455 1911894 4012317  3657016  3036502  1332828  2660335 2098744  4557257
             128     128  889145 2175277  6727225  6727225 6727225 3657016 1852520  1997245  2367096  1802755  2035099 2784517  4889281
             256       4  659625 1241598  2034350  3009318 2114473 1137672 1766587  1619994  1911233  1543163  1506359 2582316  1471270
             256       8  709299 1080434  2588541  3052087 3078337 1985448 2015259  2330140  1855098  1384034  1430119 2539563  3245838
             256      16 1163562 2458168  4496299  5022044 3654598 2665657 2812272  2783115  3368013  1514860  1755037 4132864  3557725
             256      32 1058076 1543163  4009406  5569035 5217259 3245838 2975955  3454704  5022044  2692393  2030503 3756894  5569035
             256      64 1195962 2665657  3368013  6107548 6107548 2435861 4054829  3197509  4054829  2135500  2371308 2392442  1755037
             256     128 1142514 2045979  6249745  6107548 6719046 2266207 2754556  2911402  4907284   844929  1201314 3123106  3087188
             256     256  473054 1504249  5569035  6761355 6719046 1718521 2639446  2872459  2392442  1523457  1755037 5022044  6719046
             512       4  643960 1026126  2091421  1712772 2124526  918982 1475116  1496706  1509330  1007827   929322 1875849  2826358
             512       8  808904 1164070  2228129  4091959 3346002 2089386 1931527  1488408  2370799  1387437  1312798 2370799  3580298
             512      16 1055894  670291  2187279  2107844 3795443 2007358 1823291  1299295  1875849  1501940  1207261 2329648  3849877
             512      32  620515 1580419  4030519  2548017 4927617 1827947 1801873  3437042  4742616  1506154  1689859 3510074  2668325
             512      64 1105920 1938502  3388236  2894940 6174377 2105777 4701087  3487274  4195896  1809465  1679288 2460437  6491676
             512     128 1299295 1783912  3393590  2486072 3510074 2317080 1999881  3710197  2922519  1954379  1848401 1190529  3163620
             512     256 1086890 1368865  4650188  4571003 6414119 2768068 1099128  2995907  4305250  1387437  4420457 2860238  1970519
             512     512  901241 2327124  7022379  7091952 7211022 2132967 3029721  3659616  2339802  1723770  1467055 1585086  2167411
            1024       4  538634  970656  1125277  1609925 1203137  933322  885778  1309518  1328146  1204487   595629 1519371    59892
            1024       8  269838  602396   911146  1560781 1492445 1284839  405231  2240689  1473500  1044799   552634 1241031  1011817
            1024      16  681761  463979  1670669  1828574 2156318 1297649 1370965  1727102  2137006  1201790  1142945 1253344  1477555
            1024      32 1055584 1499217  2478620  2039583 4926518 1780809 1920993  3532609  3411938  1542286  1464956 2160657  2220992
            1024      64  968904 1718120  2586074  2478620 6025439 2089189 2386350  4060261  5690162  2169388  1678504 2503178  2829721
