	Iozone: Performance Test of File I/O
	        Version $Revision: 3.414 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England.

	Run began: Sat Mar  2 21:03:13 2013

	Auto Mode
	Excel chart generation enabled
	Command line used: ./benchmarks/iozone3_414/src/current/iozone -a -R
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  454354 1484662  1991276  2203800 2067979 1330167 1033216  1526887  2006158  1304314  1143223 2203800  1421755
              64       8  577521 1101022  2923952  2892445 2006158 1421755  821391  2067979  2358717  1105556  1452528 2561267  2561267
              64      16  821391 2133730  3203069  4643754 3958892 2358717 2203800  2662899  2662899  1947927  1780008 3363612  3203069
              64      32  673098 1421755  4018152  3203069 5389653 1679761 1255511  2358717  3588436  1049372  2067979 3203069  3541098
              64      64  620221 1947927  4564786  4274062 3363612 3203069 1484662  1562436  3541098  1734015  1599680 3738358  4897948
             128       4  542400  914904  2058509  2211113 2132084 1121270 1229084  1579934  1421023  1206978   940549 2714132  2166499
             128       8  666253 1346196  3199360  3199360 2558895 1471662 2132084  2248149  2621367   992724  1102844 2784517  3036502
             128      16  761728 1642783  1471662  3657016 3053774 1755594 2098744  2608629  3359523  1229084  1684006 2066432  2420455
             128      32  921183 2660335  3657016  4135958 3895854 2985839 1885042  1967960  3536566  1749872  1007629 2673584  3867787
             128      64  992724 2132084  4759253  4407601 4267461 2673584 3359523  2673584  3657016  1278855  2905056 4135958  3867787
             128     128  985435 1579934  4135958  4889281 6406138 2211113 3657016  1658003  4135958  1911894  1705404 2608629  6406138
             256       4  606700 1084800  2261434  2205688 2152625 1143731 1610276  1629830  1729594  1084800  1053922 2148318  2118645
             256       8  839644 1306564  4332998  3197509 3368013 1514860 2242541  2413957  2187712  1178892  1237306 3935921  3197509
             256      16  861885 1453348  2533571  4132864 4009406 1642294 1952947  2665657  3823789  1361224  1262029 2775920  4264168
             256      32  907792 1619994  3454704  4332998 3935921 1985448 2812272  3123106  3705040  1652404  1696795 3197509  4197489
             256      64 1012194 2015259  3557725  4672389 6107548 2000242 3078337  3326279  4350555  1610276  2458168 2699161  2665657
             256     128 1032636 3275543  6398720  4572895 6554972 3770085 2943325  4009406  4652146  1570244  3159869 3368013  4264168
             256     256  406442 1662639  7120034  5971678 7120034 3810220 3605511  3935921  4572895  3823789  2692393 5117791  5117791
             512       4  682649 1488408  2509312  2600470 2132967 1471074 1938502  1642050  1605228  1537424  1454140 2796910  2524058
             512       8  986529 1306409  3064306  3504346 3366987 1524329 2638816  2225819  2275345  1501940  1383861 3346002  3220553
             512      16  966113 1520013  3877684  3877684 4237291 1795846 2979282  2922519  3580298  1479181  2047551 3459188  3580298
             512      32 1394645 2452009  5331314  5439343 5384786 3244885 2975154  3604335  5227492  2463259  2097550 2739816  4296637
             512      64 1108203 1667552  3934520  3029721 6104175 2081286 3481620  3653390  4660280  1895721  1463057 4131319  4660280
             512     128 1024169 2782414  6086873  6843354 6652558 3736016 4195896  4228947  4916336  2600470  3081897 2708713  4784885
             512     256 1193838 1789859  6491676  6395018 7022379 4000485 2275345  2722449  5886650  1514652  3533174 4411377  6909408
             512     512 1137555 1968713  7211022  7211022 7309196 2317080 3481620  2427068  4973263  2189509  2039772 6018636  5344582
            1024       4  653544 1189476  2353657  2867506 2160657 1127937 1889720  1617199  2106609  1224752  1119120 2251260  2645000
            1024       8  990352 2028027  3085895  3594699 3345496 2111788 2375790  2410457  3040026  1695735  1408275 3281592  3818408
            1024      16  966071 1622698  3655895  3951918 4232305 2432298 2908281  2960401  3210456  2073055  1206178 3794792  3643490
            1024      32 1220575 2437821  4162573  5885083 5336651 3037876 3849207  3671521  4609294  2559871  2491561 4300102  4876180
            1024      64 1570483 2710090  4832290  5356618 6244448 3655895 5018624  4146499  5690162  2966535  2820430 3804877  5507740
            1024     128 1185209 1999700  5536137  5310258 6787181 2295784 3261656  4044965  5751117  2039583  2211841 3314514  5144870
            1024     256 1136593 1818510  3495237  5593820 7066349 2432298 2976816  3709575  6093831  2432298  3304314 2674649  6819511
            1024     512 1258117 1771262  5564829  7113161 7257394 2306882 5175871  4433259  6744549  1999700  4282950 5169641  5991815
            1024    1024 1109579 2110750  7257394  7369466 5564829 2409105 5277632  2392998  2270300  2192645  2128533 3582705  5303701
            2048       4  661333 1228571  1995892  2829540 2045804 1151341 1503627  1627866  1534244  1145354  1155212 1741389  2752473
            2048       8  911031 1607456  2925920  3357009 3330973 2074960 2381590  2473485  2955111  1950127  1768638 2124220  3828288
            2048      16  943347 1712573  2683678  4240255 3034448 1812296 2680329  2994254  2491420  1606554  2046291 3030166  3828288
            2048      32 1406616 2599225  3871422  5172149 5376082 3235617 2438378  3362265  2398213  1785550  1785179 2653011  4934459
            2048      64 1095262 2559723  3519302  5280246 6225466 3549844 4240255  4162181  4945823  2839830  2461436 2021729  2174223
            2048     128 1038082 1046939  3229534  5832361 6786139 3786104 2639154  4081105  5933071  1996356  2937929 4453499  1972971
            2048     256 1315496 1905146  3084572  2947000 3210223 2088074 2569678  4276140  6280083  2029850  2516234 2423245  2280429
            2048     512 1081337  906990  2197023  2772014 3799501 2786401 2892423  4385291  6543188  2848305  2519185 3519302  5349298
