	Iozone: Performance Test of File I/O
	        Version $Revision: 3.414 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England.

	Run began: Sun Mar  3 12:02:54 2013

	Auto Mode
	Excel chart generation enabled
	Command line used: ./benchmarks/iozone3_414/src/current/iozone -a -R
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  369844  955947  2067979  1780008 2067979 1087638 1204796  1210227  2006158  1163036   863676 1734015  2067979
              64       8  463774 1002351  3738358  1679761 2358717 1143223 2203800  2067979  1734015  1188789  1336792 1679761  2662899
              64      16  799377  818885  2133730  2278628 4018152 1679761 1638743  1562436  2133730  1421755  1363961 1518251  1828508
              64      32  647135 1768283  4018152  4897948 4988978 2772930 2801873  2278628  3203069  1526887  1143223 3363612  3791156
              64      64  801764 1734015  4564786  5860307 5860307 1991276 3541098  1690338  3541098  1734015  1828508 3022727  4018152
             128       4  551312  948860  1967960  1705404 2098744 1048974 1858934  1487977   908709   883293  1543594 2058509  2035099
             128       8  653282 1487977  3277486  2843510 3277486 2058509 1802755  2336194  2608629  1332828  1487977 2920861  3053774
             128      16  811221 1755594  3785961  3468030 3468030 2420455 2621367  2132084  2920861  1858934  1778862 3277486  3468030
             128      32  914904 2066432  4267461  3982553 3468030 3053774 2784517  2511022  3657016  2211113  2175277 3657016  4012317
             128      64  969421 2905056  3759450  4596273 5603747 1939522 4267461  1997245  3895854  1017175  1032829 3124872  4889281
             128     128  948860 2377579  6406138  4557257 6727225 2132084 3657016  2784517  4407601  2784517  1543594 2673584  4759253
             256       4  563997  917880  2187712  1673001 2081678 1099237 1610276  1286217  1430119  1012194   977189 2030503  1942349
             256       8  814795 1248819  4009406  3454704 3197509 1506359 2131261  2350543  2392442  1260547   782721 2435861  4117018
             256      16  799625 1437779  4422226  3009318 2975955 1790149 3410808  2812272  4132864  1455317  1185399 3123106  4819184
             256      32 1048775 2170027  3169196  3078337 3511189 3123106 2242541  3236056  4907284  2045979  2170027 2392442  1842366
             256      64  944525 2975955  3368013  6249745 6249745 2413957 3499745  3197509  4819184  1729594  1911233 4998665  3421677
             256     128  981656 1298662  3935921  6213578 6719046 2692393 4652146  4070199  4652146  1532153  4755158 2419396  4332998
             256     256  934659 1924938  7120034  6398720 6891544 2081678 4572895  2187712  2458168  2152625  3236056 2170027  6719046
             512       4  601568 1463057  2016784  2906696 2107844 1286838 1789859  1652157  1645826  1337324  1334001 1740536   988345
             512       8  828566 1218910  2471765  2169601 3325278 1347393 1829505  2071249  2337255  1308798  1446306 2584820  2427068
             512      16  873740 2256220  4228947  2360376 4228947 1684557 2116152  2894940  3012719  1614885  2339802 2926501  4701087
             512      32 1255246 2187279  3182373  4163357 5214798 3081897 3064306  3580298  4916336  2370799  1446306 3504346  4123387
             512      64 1130370 1783912  3659616  5744919 6174377 1992458 3556580  3628697  4827914  1992458  1426135 3437042  4650188
             512     128 1242896 1795846  3710197  5214798 6736026 2160868 1977778  3849877  3970896  1783912  2942541 3051245  2055390
             512     256  932956 1438555  5331314  6228097 7115451 2207515 3684733  3795443  3140488  1537424  1129775 3304808  4620174
             512     512 1038532  973118  7211022  6909408 6909408 2244430 2497638  2381315  2178404  2063289  3104171 1861217  2681653
            1024       4  648903 1155864  2225595  1706515 1957770 1033237 1508167  1625769  2052253  1086012  1144163 1903117  2467229
            1024       8  856970 1055584  2619192  3680961 3335105 1539522 2398343  2403712  2559871  1414304  1197769 2035716  2681328
            1024      16  997946 1264413  2061116  2767722 3908759 2432298 1389145  2827858  2146618  1689730  1270773 2110750  2077065
            1024      32  899883 1617199  2348509  1727102 2265510 1831694 2835325  3696803  4574926  2414523  2286009 3659010  2510493
            1024      64 1091809 2796556  3037876  5303701 6208343 2197132 3483896  3984917  5390231  1950656  1802483 3999762  5024495
            1024     128 1117955 1954207  4614246  5593820 6733974 2240689 2137006  4334822  5564829  1732676  2240689 2730767  5390231
            1024     256 1111877 1875690  3469823  3891053 7066349 3738636 2640123  3955557  4014717  1914144  1999700 1503415  3447541
            1024     512 1035229 1605111  4265934  5120336 7160597 2202766 2666347  3291652  4361233  1633188  3281592 3908759  5065980
            1024    1024 1131503 1907343  7008693  6963241 7319232 2281152 3866533  2472911  4232305  2311849  1899750 3063882  6874084
            2048       4  641001 1176895  1943069  2821176 2124220 1121576 1597293  1638110  1930406  1497076  1099890 1955900  2901215
            2048       8  900997 1369174  2174223  3766184 3319389 1638423 1890887  2485653  2967361  1229979  1402711 2332443  2938934
            2048      16  989417 1969352  2500850  4330028 4204968 1823840 2216296  2782790  3084572  1770096  1464907 2905140  4162181
