	Iozone: Performance Test of File I/O
	        Version $Revision: 3.414 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England.

	Run began: Mon Mar  4 00:02:57 2013

	Auto Mode
	Excel chart generation enabled
	Command line used: ./benchmarks/iozone3_414/src/current/iozone -a -R
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  503814 1105556  2923952  2116903 1562436 1105556 1690338  1124074  1518251  1124074  1357066 1460430  1492919
              64       8   80712  901377  2278628  4018152 3203069 1828508 1304314  2133730  2561267  1526887  1232453 1828508  2467108
              64      16  639427 1029254  2298136  4207076 4018152 2222043 2358717  2467108  2358717  1143223   811459 1679761  2067979
              64      32  674790  829001  3057153  3203069 4564786 1879725  121200  2662899  2662899  1421755  2923952 3791156  4988978
              64      64  955947  831569  5735102  5735102 4018152 1892980 2379626  1780008  3363612  1518251  2923952 4897948  5389653
             128       4  603357 1424795  2673584  2905056 2035099 1406136 1142750  1424795  1642783  1111981   681476 2336194  1858934
             128       8  766076 1030846  3124872  2098744 3277486 1346196 1827299  2286447  3359523  1939522  1022989 2608629  2211113
             128      16  695603 1142750  2326073  3657016 3785961 1504659 1749872  2558895  2905056  1319723  1642783 4012317  4596273
             128      32  927549 2621367  5122535  5325799 4267461 2660335 2558895  3199360  3867787  2608629  2969325 1802755  2132084
             128      64  919605 1487977  2066432  5545860 5122535 3468030 1827299  1727352  3468030  1391557  2367096 3657016  3682098
             128     128  962469 1827299  6406138  4759253 6406138 2211113 4267461  2098744  1878447  2035099  2784517 3536566  4596273
             256       4  686182 1212164  2266207  2266207 2114473 1455317 1755037  1619994  1897721  1028679  1094754 2015259  2539563
             256       8  711178 1031644  3043436  4332998 3368013 1523457 2305128  2392442  1639786  1347557  1153561 1842366  3123106
             256      16  917880 1455317  3326279  4907284 4264168 1790149 2533571  2849590  4197489  1487577  1405778 4132864  4572895
             256      32  831194 1855098  3994490  4264168 5320671 3159869 2975955  3557725  3421677  2187712  2152625 3368013  4197489
             256      64 1226004 2285501  5841722  6398720 6213578 3605511 3667079  3935921  4332998  2371308  2463808 3935921  3511189
             256     128 1003679 1718521  6107548  4117018 6761355 2152625 3935921  4117018  4496299  1504249  3114048 3511189  5569035
             256     256 1023775 1361224  6761355  6554972 6213578 3499745 2065659  3236056  3326279  3770085  3236056 2613746  2458168
             512       4  652967 1132755  1620980  2845081 2132967 1216149 1286067  1624659  1293037  1506154  1196499 1821745  2830083
             512       8  864942 1442420  2307123  3163620 3304808 1625889 1823291  2413429  2275345  1224470  1286838 2065273  2521095
             512      16  747521 1422357  2132967  2722449 4061007 2032051 2097550  2891043  2597325  1809465  1510391 3504346  4784885
             512      32 1155924 1854787  2297251  3481620 4973263 1975959 2753870  3504346  4871723  1992458  1867692 2275345  2225819
             512      64  665926 1657257  3122224  4296637 5760329 3527371 2600470  3941742  1279935  1862832  1789859 2725905  3849877
             512     128 1143004 1429934  2668325  3653390 6736026 2107844 2049505  3325278  4296637  1747618   738777 2287463  4262523
             512     256 1026126 2187279  4195896  7115451 7022379 2535981 4732165  3145087  5760329  1668848  3163620 4742616  6843354
             512     512 1230786 1652157  6909408  7211022 7211022 2460437 4610256  2438090  3788747  2370799  1783912 3346002  6736026
            1024       4  678637 1444266  2133821  2993413 2106609 1454537 1480101  1667426  2065081  1556257  1328146 1414770  1664841
            1024       8  714065  760197  1878973  2207295 3281592 1497127 1695065  2279941  1771993  1452570  1289467 2138070  1809317
            1024      16  776413 1464956  2060128  2813041 4114719 2338280 2069060  2966535  2782064  1439908  1468964 1855433  4146499
            1024      32 1116792 1765437  3722435  5018624 5356618 2081090 3029305  3358576  3130886  1689730  1582636 2310605  4805258
            1024      64  989440 2414523  3937426  4972145 6208343 3447541 3532609  4014717  5536137  2421329  2612819 4095102  4783849
            1024     128 1419915 3003881  4848656  6402699 6776473 3905205 2798378  3951918  4876180  1747480  2052253 4249053  5417427
            1024     256 1082454 1321607  2000631  2491561 4044965 1909888 3606774  3984917  5251818  2255990  2968586 4550690  5853003
            1024     512 1556257 2561398  5245404  7020149 7319232 4095102 4470172  4079544  3518141  1692394  3271594 4014717  5593820
