                                                                    random  random    bkwd   record   stride
                    KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
2013-02-18T09:03:00 64       4  457452 1183548  2006158  3057153 2133730 1087638 1638743  1484662  2067979  1163036  1143223 2203800  2892445
2013-02-18T12:02:00 64       4  288080 1083249  2561267  2379626 1991276 1304314  855419  1421755  2006158  1017549  1304314 2067979  2561267
2013-02-18T15:03:00 64       4  457452  780776  2298136  2772930 2067979 1357066 1163036  1460430  1947927   852702  1183548 2379626  2662899
2013-02-18T18:03:00 64       4  279676  829001  2298136  2772930 2067979 1087638 1638743  1526887  1828508  1163036  1163036 2358717  2689580
2013-02-18T21:02:00 64       4  548044  809014  2662899  2772930 2006158  983980 1232453  1460430  1933893  1124074   863676 2133730  2662899
2013-02-19T00:02:00 64       4  587635 1330167  2801873  2662899 1638743 1363961 1690338  1204796  1933893   852702   852702 1392258  2662899
2013-02-19T03:02:00 64       4  463774  842003  2133730  1648808 2067979 1049372 1204796  1452528  1879725   929467   799377 1421755  1452528
2013-02-19T06:02:00 64       4  429630 1101022  2067979  2892445 1638743 1066042 1392258  1492919  1933893  1101022  1143223 2203800  2662899
2013-02-19T09:03:00 64       4  511494 1452528  1879725  2892445 1638743 1392258 1638743  1562436  2067979  1452528  1492919 2379626  2467108
2013-02-19T12:02:00 64       4  533875 1304314  2772930  2923952 2067979 1392258  633392  1492919  2067979   955947  1163036 2358717  2662899
2013-02-19T15:03:00 64       4  516414 1460430  2772930  2772930 2067979 1363961  789967  1429325  1780008  1143223  1188789 2203800  1734015
2013-02-19T18:02:00 64       4  560635 1210227  1828508  2801873 2067979 1385075 1204796  1452528  1947927  1101022  1452528 2203800  2278628
2013-02-19T21:02:00 64       4  474430 1002351  2067979  2772930 1638743 1101022 1679761  1526887  2067979  1183548  1049372 1279447  2561267
2013-02-20T00:03:00 64       4  432398 1013707  1991276  1734015 2052169  998622 1484662  1492919  2067979  1066042   955947 1232453  2561267
2013-02-20T03:03:00 64       4  566551 1330167  2662899  2892445 2067979 1392258 1562436  1484662  2052169  1421755  1249666 1933893  2662899
2013-02-20T06:02:00 64       4  374488  801764  1828508  1734015 1879725 1143223 1066042  1484662  2052169  1017549   695778  727850  1947927
2013-02-20T09:03:00 64       4  516414  695778  2467108  2662899 1879725 1066042 1452528  1484662  2067979  1163036  1083249 2006158  2689580
2013-02-20T12:03:00 64       4  542506 1105556  1734015  2772930 1991276 1066042 1255511  1421755  1279447  1029254   811459 1304314  2662899
2013-02-20T15:03:00 64       4  470274  969761  2379626  2561267  799377  727850  969761   969761  1828508   735831  1204796 2006158   874936
