run time,execution length,total mop/s
2013-02-18 09:00:00,0.73,573.03
2013-02-18 12:00:00,0.64,652.25
2013-02-18 15:00:00,0.89,473.93
2013-02-18 18:00:00,0.84,498.40
2013-02-18 21:00:00,0.92,456.87
2013-02-19 00:00:00,0.94,445.50
2013-02-19 03:00:00,0.79,529.77
2013-02-19 06:00:00,0.86,489.30
2013-02-19 09:00:00,0.62,675.68
2013-02-19 12:00:00,0.61,694.00
2013-02-19 15:00:00,0.65,647.41
2013-02-19 18:00:00,0.61,688.55
2013-02-19 21:00:00,0.63,665.35
2013-02-20 00:00:00,0.60,702.42
2013-02-20 03:00:00,0.71,591.65
2013-02-20 06:00:00,0.60,699.75
2013-02-20 09:00:00,0.77,546.45
2013-02-20 12:00:00,0.79,535.32
2013-02-20 15:00:00,0.60,705.17
2013-02-20 18:00:00,0.67,630.31
2013-02-20 21:00:00,0.84,501.26
2013-02-21 00:00:00,0.62,677.64
2013-02-21 03:00:00,0.62,680.34
2013-02-21 06:00:00,0.62,683.85
2013-02-21 09:00:00,0.73,578.25
2013-02-21 12:00:00,0.69,605.96
2013-02-21 15:00:00,0.63,669.43
2013-02-21 18:00:00,0.79,530.87
2013-02-21 21:00:00,0.80,524.34
2013-02-22 00:00:00,0.67,624.33
2013-02-22 03:00:00,0.76,552.15
2013-02-22 06:00:00,0.78,540.03
2013-02-22 09:00:00,0.74,568.90
2013-02-22 12:00:00,0.61,688.75
2013-02-22 15:00:00,0.63,662.72
2013-02-22 18:00:00,0.58,722.68
2013-02-22 21:00:00,0.65,642.78
2013-02-23 00:00:00,0.64,659.25
2013-02-23 03:00:00,0.63,669.46
2013-02-23 06:00:00,0.62,676.33
2013-02-23 09:00:00,0.62,682.42
2013-02-23 12:00:00,0.65,642.77
2013-02-23 15:00:00,0.74,566.35
2013-02-23 18:00:00,0.62,676.29
2013-02-23 21:00:00,0.70,599.47
2013-02-24 00:00:00,0.91,461.45
2013-02-24 03:00:00,1.09,386.65
2013-02-24 06:00:00,0.72,580.54
2013-02-24 09:00:00,4.53,92.93
2013-02-24 12:00:00,0.85,495.18
2013-02-24 15:00:00,0.86,491.90
2013-02-24 18:00:00,0.79,532.61
2013-02-24 21:00:00,0.72,587.79
2013-02-25 00:00:00,0.83,505.84
2013-02-25 03:00:00,0.98,430.96
2013-02-25 06:00:00,0.62,679.85
2013-02-25 09:00:00,0.63,669.22
2013-02-25 12:00:00,0.86,490.57
2013-02-25 15:00:00,0.78,536.14
2013-02-25 18:00:00,0.70,602.98
2013-02-25 21:00:00,0.81,519.94
2013-02-26 00:00:00,0.64,655.86
2013-02-26 03:00:00,0.61,685.65
2013-02-26 06:00:00,0.66,640.88
2013-02-26 09:00:00,0.72,584.96
2013-02-26 12:00:00,2.95,142.61
2013-02-26 15:00:00,0.65,642.59
2013-02-26 18:00:00,0.64,652.92
2013-02-26 21:00:00,0.63,671.30
2013-02-27 00:00:00,0.60,695.27
2013-02-27 03:00:00,0.63,670.20
2013-02-27 06:00:00,0.82,510.80
2013-02-27 09:00:00,0.61,687.73
2013-02-27 12:00:00,0.64,659.05
2013-02-27 15:00:00,0.61,686.17
2013-02-27 18:00:00,0.63,664.03
2013-02-27 21:00:00,0.69,611.56
2013-02-28 00:00:00,0.69,613.32
2013-02-28 03:00:00,0.66,641.97
2013-02-28 06:00:00,0.63,671.96
2013-02-28 09:00:00,0.64,660.95
2013-02-28 12:00:00,0.62,678.59
2013-02-28 15:00:00,0.73,572.61
2013-02-28 18:00:00,0.64,653.15
2013-02-28 21:00:00,0.61,684.40
2013-03-01 00:00:00,0.90,467.30
2013-03-01 03:00:00,0.64,658.51
2013-03-01 06:00:00,0.65,646.54
2013-03-01 09:00:00,0.63,670.73
2013-03-01 12:00:00,0.93,452.09
2013-03-01 15:00:00,0.67,623.83
2013-03-01 18:00:00,0.66,641.29
2013-03-01 21:00:00,0.65,644.19
2013-03-02 00:00:00,0.60,700.38
2013-03-02 03:00:00,0.71,595.77
2013-03-02 06:00:00,0.73,575.70
2013-03-02 09:00:00,0.63,672.37
2013-03-02 12:00:00,0.76,556.20
2013-03-02 15:00:00,0.65,648.17
2013-03-02 18:00:00,0.63,669.85
2013-03-02 21:00:00,0.63,668.85
2013-03-03 00:00:00,0.64,662.30
2013-03-03 03:00:00,0.62,676.32
2013-03-03 06:00:00,1.02,413.84
2013-03-03 09:00:00,0.84,499.86
2013-03-03 12:00:00,0.63,671.88
2013-03-03 15:00:00,0.68,620.64
2013-03-03 18:00:00,0.69,606.85
2013-03-03 21:00:00,0.64,661.91
2013-03-04 00:00:00,0.83,509.83
