run time,execution length,total mop/s
2013-02-18 09:00:00,0.41,908.01
2013-02-18 12:00:00,0.43,875.47
2013-02-18 15:00:00,0.45,837.24
2013-02-18 18:00:00,0.44,848.15
2013-02-18 21:00:00,0.50,743.45
2013-02-19 00:00:00,0.42,878.59
2013-02-19 03:00:00,0.41,904.62
2013-02-19 06:00:00,0.45,828.68
2013-02-19 09:00:00,0.40,927.55
2013-02-19 12:00:00,0.39,955.60
2013-02-19 15:00:00,0.40,933.20
2013-02-19 18:00:00,0.39,952.05
2013-02-19 21:00:00,0.40,928.83
2013-02-20 00:00:00,0.40,938.11
2013-02-20 03:00:00,0.41,903.53
2013-02-20 06:00:00,0.36,1034.58
2013-02-20 09:00:00,0.43,875.05
2013-02-20 12:00:00,0.44,839.28
2013-02-20 15:00:00,0.39,964.46
2013-02-20 18:00:00,0.38,968.40
2013-02-20 21:00:00,0.48,779.01
2013-02-21 00:00:00,0.39,960.52
2013-02-21 03:00:00,0.38,968.47
2013-02-21 06:00:00,0.40,934.91
2013-02-21 09:00:00,0.40,942.56
2013-02-21 12:00:00,0.41,909.73
2013-02-21 15:00:00,0.39,953.64
2013-02-21 18:00:00,3.07,121.51
2013-02-21 21:00:00,0.59,631.97
2013-02-22 00:00:00,0.40,935.13
2013-02-22 03:00:00,0.42,883.97
2013-02-22 06:00:00,0.42,881.84
2013-02-22 09:00:00,0.43,866.67
2013-02-22 12:00:00,0.40,930.61
2013-02-22 15:00:00,0.39,945.39
2013-02-22 18:00:00,0.40,932.07
2013-02-22 21:00:00,0.39,954.11
2013-02-23 00:00:00,0.39,960.57
2013-02-23 03:00:00,0.40,929.24
2013-02-23 06:00:00,0.39,965.15
2013-02-23 09:00:00,0.39,947.42
2013-02-23 12:00:00,0.47,792.43
2013-02-23 15:00:00,0.43,874.53
2013-02-23 18:00:00,0.40,931.74
2013-02-23 21:00:00,0.42,883.36
2013-02-24 00:00:00,0.44,854.56
2013-02-24 03:00:00,0.47,796.07
2013-02-24 06:00:00,0.42,878.92
2013-02-24 09:00:00,3.85,96.88
2013-02-24 12:00:00,0.42,887.21
2013-02-24 15:00:00,0.41,918.80
2013-02-24 18:00:00,0.41,908.97
2013-02-24 21:00:00,0.37,998.06
2013-02-25 00:00:00,0.39,949.50
2013-02-25 03:00:00,0.43,865.25
2013-02-25 06:00:00,0.38,976.38
2013-02-25 09:00:00,0.40,934.22
2013-02-25 12:00:00,0.41,906.88
2013-02-25 15:00:00,0.42,884.56
2013-02-25 18:00:00,0.42,883.58
2013-02-25 21:00:00,0.42,891.73
2013-02-26 00:00:00,0.42,887.08
2013-02-26 03:00:00,2.26,165.16
2013-02-26 06:00:00,0.41,904.58
2013-02-26 09:00:00,0.41,907.62
2013-02-26 12:00:00,3.63,102.60
2013-02-26 15:00:00,0.48,777.07
2013-02-26 18:00:00,0.40,940.17
2013-02-26 21:00:00,0.39,948.39
2013-02-27 00:00:00,0.39,954.97
2013-02-27 03:00:00,0.41,919.10
2013-02-27 06:00:00,0.40,931.94
2013-02-27 09:00:00,0.38,989.35
2013-02-27 12:00:00,0.39,962.70
2013-02-27 15:00:00,0.40,928.66
2013-02-27 18:00:00,0.39,945.98
2013-02-27 21:00:00,0.44,839.41
2013-02-28 00:00:00,0.38,971.87
2013-02-28 03:00:00,0.38,985.07
2013-02-28 06:00:00,0.39,958.52
2013-02-28 09:00:00,0.41,917.25
2013-02-28 12:00:00,0.40,929.30
2013-02-28 15:00:00,0.43,868.08
2013-02-28 18:00:00,0.40,921.26
2013-02-28 21:00:00,0.40,936.09
2013-03-01 00:00:00,0.44,837.69
2013-03-01 03:00:00,0.40,927.31
2013-03-01 06:00:00,0.40,939.87
2013-03-01 09:00:00,0.39,944.54
2013-03-01 12:00:00,0.40,924.10
2013-03-01 15:00:00,0.41,902.86
2013-03-01 18:00:00,0.41,908.91
2013-03-01 21:00:00,0.43,874.04
2013-03-02 00:00:00,0.39,949.29
2013-03-02 03:00:00,0.49,762.52
2013-03-02 06:00:00,0.41,902.72
2013-03-02 09:00:00,0.40,927.35
2013-03-02 12:00:00,0.40,938.11
2013-03-02 15:00:00,0.40,934.65
2013-03-02 18:00:00,0.39,950.02
2013-03-02 21:00:00,0.39,964.47
2013-03-03 00:00:00,0.39,947.76
2013-03-03 03:00:00,0.39,950.21
2013-03-03 06:00:00,0.41,915.35
2013-03-03 09:00:00,0.42,892.31
2013-03-03 12:00:00,0.40,940.78
2013-03-03 15:00:00,0.37,1005.85
2013-03-03 18:00:00,0.41,918.98
2013-03-03 21:00:00,0.39,962.24
2013-03-04 00:00:00,0.42,892.39
