run time,execution length,total mop/s
2013-02-18 09:00:00,0.17,62.15
2013-02-18 12:00:00,0.14,72.35
2013-02-18 15:00:00,0.17,60.30
2013-02-18 18:00:00,0.17,60.74
2013-02-18 21:00:00,0.16,66.60
2013-02-19 00:00:00,0.17,63.37
2013-02-19 03:00:00,0.16,66.23
2013-02-19 06:00:00,0.14,73.41
2013-02-19 09:00:00,0.14,75.95
2013-02-19 12:00:00,0.14,74.23
2013-02-19 15:00:00,0.14,72.57
2013-02-19 18:00:00,0.14,72.71
2013-02-19 21:00:00,0.15,70.22
2013-02-20 00:00:00,0.14,74.14
2013-02-20 03:00:00,0.15,69.68
2013-02-20 06:00:00,0.14,74.23
2013-02-20 09:00:00,0.16,66.45
2013-02-20 12:00:00,0.14,73.81
2013-02-20 15:00:00,0.14,75.91
2013-02-20 18:00:00,0.14,75.19
2013-02-20 21:00:00,0.16,65.87
2013-02-21 00:00:00,0.14,75.83
2013-02-21 03:00:00,0.14,75.38
2013-02-21 06:00:00,0.14,73.83
2013-02-21 09:00:00,0.14,73.05
2013-02-21 12:00:00,0.17,61.83
2013-02-21 15:00:00,0.14,73.22
2013-02-21 18:00:00,1.49,7.02
2013-02-21 21:00:00,0.17,60.89
2013-02-22 00:00:00,0.14,73.73
2013-02-22 03:00:00,0.15,69.17
2013-02-22 06:00:00,0.15,69.77
2013-02-22 09:00:00,0.16,67.49
2013-02-22 12:00:00,0.15,71.82
2013-02-22 15:00:00,0.14,73.02
2013-02-22 18:00:00,0.14,75.75
2013-02-22 21:00:00,0.14,74.96
2013-02-23 00:00:00,0.14,76.06
2013-02-23 03:00:00,1.40,7.51
2013-02-23 06:00:00,0.15,71.29
2013-02-23 09:00:00,0.15,68.00
2013-02-23 12:00:00,0.22,46.89
2013-02-23 15:00:00,0.22,47.09
2013-02-23 18:00:00,0.15,72.05
2013-02-23 21:00:00,0.17,61.03
2013-02-24 00:00:00,0.19,55.09
2013-02-24 03:00:00,0.18,59.32
2013-02-24 06:00:00,0.14,72.96
2013-02-24 09:00:00,1.51,6.94
2013-02-24 12:00:00,0.16,63.87
2013-02-24 15:00:00,0.16,66.69
2013-02-24 18:00:00,0.16,63.93
2013-02-24 21:00:00,0.14,74.63
2013-02-25 00:00:00,0.14,74.40
2013-02-25 03:00:00,0.19,55.79
2013-02-25 06:00:00,0.14,74.51
2013-02-25 09:00:00,0.14,72.79
2013-02-25 12:00:00,0.16,64.56
2013-02-25 15:00:00,0.16,66.42
2013-02-25 18:00:00,0.15,70.76
2013-02-25 21:00:00,0.19,55.12
2013-02-26 00:00:00,0.14,75.19
2013-02-26 03:00:00,1.41,7.43
2013-02-26 06:00:00,0.16,66.43
2013-02-26 09:00:00,0.15,68.12
2013-02-26 12:00:00,1.50,6.99
2013-02-26 15:00:00,0.14,72.78
2013-02-26 18:00:00,0.14,74.60
2013-02-26 21:00:00,0.15,70.79
2013-02-27 00:00:00,0.14,75.11
2013-02-27 03:00:00,0.14,72.55
2013-02-27 06:00:00,0.14,72.73
2013-02-27 09:00:00,0.14,74.37
2013-02-27 12:00:00,0.14,73.45
2013-02-27 15:00:00,0.14,73.91
2013-02-27 18:00:00,0.14,77.09
2013-02-27 21:00:00,0.16,66.56
2013-02-28 00:00:00,0.14,72.35
2013-02-28 03:00:00,0.14,74.99
2013-02-28 06:00:00,0.15,70.57
2013-02-28 09:00:00,0.14,73.37
2013-02-28 12:00:00,0.14,72.71
2013-02-28 15:00:00,0.14,72.35
2013-02-28 18:00:00,0.15,72.15
2013-02-28 21:00:00,0.14,77.04
2013-03-01 00:00:00,0.17,63.40
2013-03-01 03:00:00,0.15,68.70
2013-03-01 06:00:00,0.26,40.76
2013-03-01 09:00:00,0.15,69.01
2013-03-01 12:00:00,0.15,69.45
2013-03-01 15:00:00,0.14,75.06
2013-03-01 18:00:00,0.17,61.38
2013-03-01 21:00:00,0.15,70.89
2013-03-02 00:00:00,0.16,66.17
2013-03-02 03:00:00,0.17,61.01
2013-03-02 06:00:00,0.18,59.09
2013-03-02 09:00:00,0.15,71.27
2013-03-02 12:00:00,0.15,68.90
2013-03-02 15:00:00,0.15,70.96
2013-03-02 18:00:00,0.14,73.84
2013-03-02 21:00:00,0.15,71.21
2013-03-03 00:00:00,0.14,74.10
2013-03-03 03:00:00,0.14,73.62
2013-03-03 06:00:00,0.16,65.97
2013-03-03 09:00:00,0.17,61.42
2013-03-03 12:00:00,0.15,70.68
2013-03-03 15:00:00,0.15,71.97
2013-03-03 18:00:00,0.15,68.98
2013-03-03 21:00:00,0.15,71.39
2013-03-04 00:00:00,0.17,61.22
