run time,execution length,total mop/s
2013-02-18 09:00:00,79.55,227.04
2013-02-18 12:00:00,25.45,709.68
2013-02-18 15:00:00,66.48,271.67
2013-02-18 18:00:00,83.57,216.13
2013-02-18 21:00:00,40.61,444.80
2013-02-19 00:00:00,37.89,476.71
2013-02-19 03:00:00,62.89,287.18
2013-02-19 06:00:00,79.22,227.98
2013-02-19 09:00:00,91.83,196.69
2013-02-19 12:00:00,68.31,264.41
2013-02-19 15:00:00,65.10,277.44
2013-02-19 18:00:00,51.97,347.50
2013-02-19 21:00:00,49.21,367.02
2013-02-20 00:00:00,9.98,1809.27
2013-02-20 03:00:00,26.70,676.50
2013-02-20 06:00:00,86.75,208.19
2013-02-20 09:00:00,10.53,1714.64
2013-02-20 12:00:00,19.14,943.64
2013-02-20 15:00:00,62.75,287.81
2013-02-20 18:00:00,64.25,281.10
2013-02-20 21:00:00,92.80,194.62
2013-02-21 00:00:00,61.05,295.86
2013-02-21 03:00:00,89.08,202.75
2013-02-21 06:00:00,68.34,264.27
2013-02-21 09:00:00,53.89,335.16
2013-02-21 12:00:00,10.90,1656.75
2013-02-21 15:00:00,56.43,320.05
2013-02-21 18:00:00,108.54,166.39
2013-02-21 21:00:00,13.06,1382.99
2013-02-22 00:00:00,57.40,314.68
2013-02-22 03:00:00,46.65,387.19
2013-02-22 06:00:00,28.67,629.94
2013-02-22 09:00:00,78.27,230.75
2013-02-22 12:00:00,77.13,234.17
2013-02-22 15:00:00,35.41,510.00
2013-02-22 18:00:00,95.89,188.35
2013-02-22 21:00:00,60.97,296.22
2013-02-23 00:00:00,78.71,229.46
2013-02-23 03:00:00,103.88,173.87
2013-02-23 06:00:00,41.35,436.76
2013-02-23 09:00:00,89.06,202.79
2013-02-23 12:00:00,63.07,286.36
2013-02-23 15:00:00,39.73,454.55
2013-02-23 18:00:00,56.82,317.84
2013-02-23 21:00:00,54.12,333.74
2013-02-24 00:00:00,96.98,186.24
2013-02-24 03:00:00,52.71,342.62
2013-02-24 06:00:00,87.47,206.47
2013-02-24 09:00:00,99.69,181.17
2013-02-24 12:00:00,84.59,213.52
2013-02-24 15:00:00,22.99,785.55
2013-02-24 18:00:00,13.39,1348.81
2013-02-24 21:00:00,85.57,211.06
2013-02-25 00:00:00,10.75,1679.71
2013-02-25 03:00:00,35.73,505.51
2013-02-25 06:00:00,31.57,572.09
2013-02-25 09:00:00,29.23,617.80
2013-02-25 12:00:00,90.68,199.18
2013-02-25 15:00:00,35.18,513.32
2013-02-25 18:00:00,47.97,376.50
2013-02-25 21:00:00,67.62,267.10
2013-02-26 00:00:00,85.05,212.36
2013-02-26 03:00:00,103.10,175.18
2013-02-26 06:00:00,10.07,1792.74
2013-02-26 09:00:00,70.87,254.86
2013-02-26 12:00:00,100.69,179.38
2013-02-26 15:00:00,52.23,345.79
2013-02-26 18:00:00,62.73,287.91
2013-02-26 21:00:00,67.79,266.41
2013-02-27 00:00:00,32.69,552.53
2013-02-27 03:00:00,51.68,349.46
2013-02-27 06:00:00,37.80,477.77
2013-02-27 09:00:00,100.92,178.96
2013-02-27 12:00:00,70.03,257.92
2013-02-27 15:00:00,99.41,181.69
2013-02-27 18:00:00,87.21,207.11
2013-02-27 21:00:00,92.11,196.08
2013-02-28 00:00:00,78.41,230.35
2013-02-28 03:00:00,9.38,1925.83
2013-02-28 06:00:00,35.03,515.62
2013-02-28 09:00:00,64.27,281.04
2013-02-28 12:00:00,73.52,245.67
2013-02-28 15:00:00,9.99,1807.31
2013-02-28 18:00:00,22.95,787.09
2013-02-28 21:00:00,64.51,279.99
2013-03-01 00:00:00,93.57,193.03
2013-03-01 03:00:00,11.26,1603.91
2013-03-01 06:00:00,32.95,548.12
2013-03-01 09:00:00,22.54,801.19
2013-03-01 12:00:00,45.81,394.22
2013-03-01 15:00:00,39.61,455.94
2013-03-01 18:00:00,66.36,272.15
2013-03-01 21:00:00,16.14,1119.13
2013-03-02 00:00:00,63.53,284.30
2013-03-02 03:00:00,79.28,227.81
2013-03-02 06:00:00,37.63,479.95
2013-03-02 09:00:00,42.90,421.05
2013-03-02 12:00:00,65.09,277.48
2013-03-02 15:00:00,57.44,314.41
2013-03-02 18:00:00,74.27,243.20
2013-03-02 21:00:00,74.42,242.68
2013-03-03 00:00:00,73.20,246.74
2013-03-03 03:00:00,10.71,1686.19
2013-03-03 06:00:00,49.80,362.65
2013-03-03 09:00:00,37.46,482.19
2013-03-03 12:00:00,82.09,220.02
2013-03-03 15:00:00,55.68,324.37
2013-03-03 18:00:00,10.03,1800.94
2013-03-03 21:00:00,9.49,1902.92
2013-03-04 00:00:00,97.26,185.70
