run time,execution length,total mop/s
2013-02-18 09:01:00,0.40,1212.43
2013-02-18 12:00:00,3.90,124.69
2013-02-18 15:01:00,3.68,132.10
2013-02-18 18:01:00,0.43,1118.99
2013-02-18 21:01:00,3.65,133.37
2013-02-19 00:01:00,3.48,139.70
2013-02-19 03:01:00,3.89,124.99
2013-02-19 06:01:00,3.54,137.32
2013-02-19 09:01:00,3.54,137.39
2013-02-19 12:01:00,3.59,135.47
2013-02-19 15:01:00,3.57,136.42
2013-02-19 18:01:00,4.12,118.06
2013-02-19 21:01:00,3.74,130.04
2013-02-20 00:00:00,3.74,129.99
2013-02-20 03:00:00,3.56,136.58
2013-02-20 06:01:00,3.56,136.69
2013-02-20 09:00:00,4.18,116.50
2013-02-20 12:00:00,3.77,128.98
2013-02-20 15:01:00,3.71,131.08
2013-02-20 18:01:00,3.48,139.70
2013-02-20 21:01:00,3.73,130.41
2013-02-21 00:01:00,4.09,118.82
2013-02-21 03:01:00,3.50,138.91
2013-02-21 06:01:00,4.13,117.91
2013-02-21 09:01:00,3.49,139.48
2013-02-21 12:00:00,0.59,827.73
2013-02-21 15:01:00,3.56,136.70
2013-02-21 18:02:00,4.25,114.41
2013-02-21 21:00:00,3.75,129.86
2013-02-22 00:01:00,3.59,135.66
2013-02-22 03:01:00,4.20,115.96
2013-02-22 06:00:00,3.48,139.66
2013-02-22 09:01:00,3.90,124.70
2013-02-22 12:01:00,3.76,129.56
2013-02-22 15:00:00,3.75,129.72
2013-02-22 18:02:00,4.24,114.82
2013-02-22 21:01:00,4.71,103.30
2013-02-23 00:01:00,3.59,135.62
2013-02-23 03:02:00,3.78,128.58
2013-02-23 06:01:00,3.58,135.72
2013-02-23 09:01:00,3.69,131.77
2013-02-23 12:01:00,3.74,130.03
2013-02-23 15:01:00,3.58,136.02
2013-02-23 18:01:00,3.96,122.91
2013-02-23 21:01:00,3.65,133.15
2013-02-24 00:02:00,3.59,135.34
2013-02-24 03:01:00,4.12,118.23
2013-02-24 06:02:00,3.50,139.12
2013-02-24 09:02:00,3.95,123.20
2013-02-24 12:01:00,3.60,135.31
2013-02-24 15:00:00,3.59,135.46
2013-02-24 18:00:00,3.61,134.81
2013-02-24 21:01:00,3.49,139.54
2013-02-25 00:00:00,4.14,117.57
2013-02-25 03:00:00,3.68,132.04
2013-02-25 06:00:00,3.60,135.31
2013-02-25 09:00:00,3.59,135.57
2013-02-25 12:01:00,3.80,128.16
2013-02-25 15:01:00,4.16,117.04
2013-02-25 18:01:00,3.78,128.56
2013-02-25 21:01:00,3.70,131.37
2013-02-26 00:01:00,3.57,136.42
2013-02-26 03:02:00,4.16,117.09
2013-02-26 06:00:00,0.37,1316.19
2013-02-26 09:01:00,3.56,136.54
2013-02-26 12:02:00,3.73,130.42
2013-02-26 15:01:00,3.48,139.94
2013-02-26 18:01:00,3.46,140.48
2013-02-26 21:01:00,3.90,124.69
2013-02-27 00:00:00,3.59,135.48
2013-02-27 03:01:00,3.57,136.41
2013-02-27 06:00:00,3.67,132.66
2013-02-27 09:02:00,3.85,126.44
2013-02-27 12:01:00,3.47,140.07
2013-02-27 15:02:00,3.56,136.73
2013-02-27 18:01:00,3.59,135.46
2013-02-27 21:02:00,3.56,136.50
2013-02-28 00:01:00,3.76,129.44
2013-02-28 03:00:00,0.37,1328.72
2013-02-28 06:01:00,3.92,124.22
2013-02-28 09:01:00,3.58,135.76
2013-02-28 12:01:00,3.59,135.68
2013-02-28 15:00:00,3.78,128.87
2013-02-28 18:00:00,3.46,140.61
2013-02-28 21:01:00,3.60,134.97
2013-03-01 00:01:00,4.03,120.65
2013-03-01 03:00:00,0.41,1190.72
2013-03-01 06:00:00,0.38,1271.45
2013-03-01 09:00:00,0.38,1277.85
2013-03-01 12:01:00,4.18,116.45
2013-03-01 15:01:00,3.66,133.11
2013-03-01 18:01:00,3.85,126.46
2013-03-01 21:00:00,3.77,129.10
2013-03-02 00:01:00,3.75,129.84
2013-03-02 03:01:00,3.73,130.47
2013-03-02 06:01:00,3.73,130.28
2013-03-02 09:01:00,3.64,133.58
2013-03-02 12:01:00,3.75,129.87
2013-03-02 15:01:00,3.82,127.27
2013-03-02 18:01:00,0.37,1302.06
2013-03-02 21:01:00,3.73,130.39
2013-03-03 00:01:00,0.38,1278.33
2013-03-03 03:00:00,3.65,133.44
2013-03-03 06:01:00,3.80,128.02
2013-03-03 09:01:00,3.74,130.03
2013-03-03 12:01:00,0.39,1260.58
2013-03-03 15:01:00,4.11,118.47
2013-03-03 18:00:00,0.39,1262.78
2013-03-03 21:00:00,0.37,1308.93
2013-03-04 00:01:00,3.73,130.42
