run time,execution length,total mop/s
2013-02-18 09:01:00,82.52,171.77
2013-02-18 12:00:00,111.79,126.80
2013-02-18 15:01:00,68.51,206.89
2013-02-18 18:01:00,25.30,560.29
2013-02-18 21:01:00,100.96,140.39
2013-02-19 00:01:00,93.28,151.96
2013-02-19 03:01:00,63.25,224.11
2013-02-19 06:01:00,47.76,296.80
2013-02-19 09:02:00,33.91,417.98
2013-02-19 12:01:00,73.42,193.07
2013-02-19 15:01:00,67.08,211.30
2013-02-19 18:01:00,65.93,215.00
2013-02-19 21:01:00,62.86,225.50
2013-02-20 00:00:00,112.57,125.91
2013-02-20 03:00:00,112.01,126.54
2013-02-20 06:01:00,39.04,363.05
2013-02-20 09:00:00,112.75,125.71
2013-02-20 12:00:00,115.33,122.91
2013-02-20 15:01:00,109.70,129.22
2013-02-20 18:01:00,98.79,143.47
2013-02-20 21:02:00,63.13,224.52
2013-02-21 00:01:00,113.65,124.72
2013-02-21 03:01:00,83.76,169.23
2013-02-21 06:01:00,94.56,149.91
2013-02-21 09:01:00,97.09,145.99
2013-02-21 12:00:00,108.67,130.43
2013-02-21 15:01:00,113.69,124.68
2013-02-21 18:02:00,74.30,190.77
2013-02-21 21:00:00,128.99,109.89
2013-02-22 00:01:00,110.43,128.35
2013-02-22 03:01:00,112.23,126.29
2013-02-22 06:00:00,116.50,121.67
2013-02-22 09:01:00,111.74,126.85
2013-02-22 12:01:00,111.89,126.69
2013-02-22 15:01:00,114.37,123.94
2013-02-22 18:02:00,100.63,140.85
2013-02-22 21:01:00,124.34,114.00
2013-02-23 00:01:00,99.76,142.08
2013-02-23 03:02:00,66.71,212.48
2013-02-23 06:01:00,114.04,124.29
2013-02-23 09:01:00,96.27,147.23
2013-02-23 12:01:00,111.65,126.96
2013-02-23 15:01:00,114.04,124.30
2013-02-23 18:01:00,112.41,126.10
2013-02-23 21:01:00,111.75,126.84
2013-02-24 00:02:00,111.63,126.98
2013-02-24 03:01:00,112.90,125.55
2013-02-24 06:02:00,112.30,126.22
2013-02-24 09:02:00,105.44,134.43
2013-02-24 12:01:00,114.21,124.10
2013-02-24 15:00:00,114.84,123.42
2013-02-24 18:00:00,114.84,123.42
2013-02-24 21:01:00,118.03,120.09
2013-02-25 00:00:00,113.75,124.60
2013-02-25 03:01:00,113.48,124.90
2013-02-25 06:01:00,112.65,125.82
2013-02-25 09:01:00,112.35,126.17
2013-02-25 12:02:00,111.97,126.59
2013-02-25 15:01:00,111.65,126.95
2013-02-25 18:01:00,112.94,125.51
2013-02-25 21:01:00,113.22,125.19
2013-02-26 00:02:00,114.67,123.61
2013-02-26 03:02:00,112.66,125.82
2013-02-26 06:00:00,103.37,137.12
2013-02-26 09:01:00,109.28,129.70
2013-02-26 12:02:00,116.33,121.84
2013-02-26 15:01:00,112.81,125.65
2013-02-26 18:01:00,112.38,126.13
2013-02-26 21:01:00,111.43,127.20
2013-02-27 00:01:00,113.08,125.35
2013-02-27 03:01:00,113.41,124.99
2013-02-27 06:01:00,117.56,120.57
2013-02-27 09:02:00,113.18,125.24
2013-02-27 12:01:00,112.55,125.93
2013-02-27 15:02:00,113.16,125.26
2013-02-27 18:01:00,115.43,122.80
2013-02-27 21:02:00,116.18,122.00
2013-02-28 00:01:00,113.98,124.36
2013-02-28 03:00:00,106.91,132.58
2013-02-28 06:01:00,112.40,126.10
2013-02-28 09:01:00,114.29,124.02
2013-02-28 12:01:00,113.25,125.16
2013-02-28 15:00:00,116.63,121.53
2013-02-28 18:01:00,111.92,126.65
2013-02-28 21:01:00,112.57,125.92
2013-03-01 00:02:00,114.67,123.61
2013-03-01 03:00:00,11.61,1220.67
2013-03-01 06:00:00,54.17,261.66
2013-03-01 09:00:00,65.10,217.73
2013-03-01 12:01:00,60.03,236.12
2013-03-01 15:01:00,51.74,273.96
2013-03-01 18:01:00,37.59,377.09
2013-03-01 21:00:00,86.55,163.76
2013-03-02 00:01:00,41.78,339.22
2013-03-02 03:01:00,34.09,415.76
2013-03-02 06:01:00,43.62,324.93
2013-03-02 09:01:00,35.46,399.73
2013-03-02 12:01:00,35.56,398.64
2013-03-02 15:01:00,38.25,370.59
2013-03-02 18:01:00,63.05,224.82
2013-03-02 21:01:00,50.35,281.53
2013-03-03 00:01:00,52.70,268.95
2013-03-03 03:00:00,111.28,127.38
2013-03-03 06:01:00,73.91,191.79
2013-03-03 09:01:00,63.98,221.53
2013-03-03 12:01:00,15.16,935.22
2013-03-03 15:01:00,74.55,190.13
2013-03-03 18:00:00,101.57,139.55
2013-03-03 21:00:00,114.24,124.08
2013-03-04 00:01:00,54.11,261.95
