run time,execution length,total mop/s
2013-02-18 09:03:00,4.84,14.92
2013-02-18 12:02:00,6.44,11.21
2013-02-18 15:02:00,14.89,4.85
2013-02-18 18:02:00,57.04,1.27
2013-02-18 21:02:00,5.49,13.15
2013-02-19 00:02:00,6.27,11.51
2013-02-19 03:02:00,5.73,12.60
2013-02-19 06:02:00,12.99,5.56
2013-02-19 09:02:00,44.63,1.62
2013-02-19 12:02:00,5.36,13.46
2013-02-19 15:02:00,27.33,2.64
2013-02-19 18:02:00,6.51,11.09
2013-02-19 21:02:00,4.20,17.17
2013-02-20 00:02:00,51.96,1.39
2013-02-20 03:02:00,34.00,2.12
2013-02-20 06:02:00,6.18,11.68
2013-02-20 09:02:00,53.38,1.35
2013-02-20 12:02:00,40.37,1.79
2013-02-20 15:03:00,8.79,8.21
2013-02-20 18:03:00,4.32,16.72
2013-02-20 21:03:00,35.65,2.02
2013-02-21 00:03:00,4.90,14.72
2013-02-21 03:03:00,32.41,2.23
2013-02-21 06:03:00,23.70,3.05
2013-02-21 09:03:00,18.43,3.92
2013-02-21 12:02:00,53.92,1.34
2013-02-21 15:03:00,44.92,1.61
2013-02-21 18:03:00,64.04,1.13
2013-02-21 21:02:00,60.10,1.20
2013-02-22 00:03:00,50.20,1.44
2013-02-22 03:03:00,50.42,1.43
2013-02-22 06:02:00,50.89,1.42
2013-02-22 09:03:00,5.88,12.28
2013-02-22 12:03:00,29.76,2.43
2013-02-22 15:03:00,48.11,1.50
2013-02-22 18:03:00,5.47,13.20
2013-02-22 21:03:00,6.20,11.64
2013-02-23 00:03:00,5.81,12.43
2013-02-23 03:03:00,6.11,11.82
2013-02-23 06:03:00,53.01,1.36
2013-02-23 09:03:00,4.77,15.14
2013-02-23 12:03:00,57.04,1.27
2013-02-23 15:03:00,57.86,1.25
2013-02-23 18:03:00,56.24,1.28
2013-02-23 21:03:00,56.67,1.27
2013-02-24 00:04:00,5.83,12.38
2013-02-24 03:03:00,59.43,1.21
2013-02-24 06:04:00,11.19,6.45
2013-02-24 09:04:00,4.84,14.92
2013-02-24 12:03:00,9.05,7.97
2013-02-24 15:02:00,55.05,1.31
2013-02-24 18:02:00,53.98,1.34
2013-02-24 21:03:00,5.12,14.10
2013-02-25 00:02:00,55.25,1.31
2013-02-25 03:03:00,54.64,1.32
2013-02-25 06:02:00,55.05,1.31
2013-02-25 09:02:00,54.85,1.32
2013-02-25 12:03:00,44.65,1.62
2013-02-25 15:03:00,55.24,1.31
2013-02-25 18:03:00,53.17,1.36
2013-02-25 21:03:00,56.48,1.28
2013-02-26 00:03:00,27.69,2.61
2013-02-26 03:04:00,10.97,6.58
2013-02-26 06:02:00,54.82,1.32
2013-02-26 09:03:00,54.63,1.32
2013-02-26 12:04:00,7.26,9.94
2013-02-26 15:03:00,59.37,1.22
2013-02-26 18:03:00,58.87,1.23
2013-02-26 21:03:00,57.45,1.26
2013-02-27 00:02:00,55.04,1.31
2013-02-27 03:03:00,56.34,1.28
2013-02-27 06:03:00,56.47,1.28
2013-02-27 09:04:00,59.03,1.22
2013-02-27 12:03:00,59.82,1.21
2013-02-27 15:04:00,45.65,1.58
2013-02-27 18:03:00,43.13,1.67
2013-02-27 21:04:00,46.41,1.56
2013-02-28 00:03:00,57.92,1.25
2013-02-28 03:02:00,55.82,1.29
2013-02-28 06:03:00,60.24,1.20
2013-02-28 09:03:00,56.81,1.27
2013-02-28 12:03:00,58.23,1.24
2013-02-28 15:02:00,55.84,1.29
2013-02-28 18:02:00,55.97,1.29
2013-02-28 21:03:00,57.16,1.26
2013-03-01 00:04:00,57.20,1.26
2013-03-01 03:00:00,4.85,14.90
2013-03-01 06:01:00,30.92,2.33
2013-03-01 09:01:00,21.11,3.42
2013-03-01 12:02:00,33.85,2.13
2013-03-01 15:02:00,46.38,1.56
2013-03-01 18:02:00,51.49,1.40
2013-03-01 21:02:00,4.96,14.56
2013-03-02 00:02:00,51.71,1.40
2013-03-02 03:02:00,42.98,1.68
2013-03-02 06:02:00,58.57,1.23
2013-03-02 09:01:00,42.46,1.70
2013-03-02 12:02:00,56.15,1.29
2013-03-02 15:02:00,50.70,1.42
2013-03-02 18:02:00,26.41,2.73
2013-03-02 21:02:00,32.86,2.20
2013-03-03 00:02:00,39.04,1.85
2013-03-03 03:02:00,14.99,4.81
2013-03-03 06:02:00,5.51,13.09
2013-03-03 09:02:00,5.07,14.24
2013-03-03 12:02:00,53.19,1.36
2013-03-03 15:02:00,5.94,12.15
2013-03-03 18:02:00,45.67,1.58
2013-03-03 21:02:00,30.10,2.40
2013-03-04 00:02:00,5.52,13.08
